onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	3.254	04:36:22	1	18347	1	1	6	12	9	13	8	11	6	n/a	n/a	13,3	0
13.0	n/a	1.138	04:36:35	1	23334	2	2	2	1	16	n/a	n/a	n/a	n/a	n/a	n/a	14,1	1
18.0	n/a	1.225	04:36:40	1	28410	3	3	2	5	7	n/a	n/a	n/a	n/a	n/a	n/a	5,2	1
23.0	n/a	1.3	04:36:45	1	39171	4	4	6	15	16	5	1	13	2	n/a	n/a	15,1	1
34.0	n/a	1.503	04:36:56	1	50145	5	5	6	12	15	14	1	4	8	n/a	n/a	3,2	1
45.0	n/a	1.305	04:37:07	1	60944	6	6	6	10	3	1	6	5	4	n/a	n/a	16,5	1
55.0	n/a	1.215	04:37:17	1	71633	7	7	6	13	6	11	12	16	2	n/a	n/a	15,6	1
66.0	n/a	0.955	04:37:28	1	76433	8	8	2	13	7	n/a	n/a	n/a	n/a	n/a	n/a	7,2	1
71.0	n/a	0.939	04:37:33	1	81217	9	9	2	2	16	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
76.0	n/a	1.512	04:37:38	1	86587	10	10	2	5	3	n/a	n/a	n/a	n/a	n/a	n/a	5,1	0
81.0	n/a	0.952	04:37:43	1	91384	11	11	2	10	16	n/a	n/a	n/a	n/a	n/a	n/a	10,1	1
86.0	n/a	1.11	04:37:48	1	101968	12	12	6	3	7	4	14	1	6	n/a	n/a	13,3	1
