onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
0.017	10.014	Instruction	-1	Picture	Instruction	n/a	n/a	n/a	29.588
10.047	5.007	ITI	0	Picture	Fixation+	1	16.478	n/a	39.618
15.07	2.006	Cue	0	Picture	Maintain	1	14.456	n/a	44.641
17.076	4.99	Pic	0	Picture	IAPS_26	1	9.466	n/a	46.647
22.066	2.006	Blank	0	Picture	BLANK	1	7.46	n/a	51.638
31.532	n/a	ConfirmRating	0	Response	n/a	1	n/a	5	61.103
31.549	6.002	ITI	1	Picture	Fixation+	2	14.127	n/a	61.12
37.567	2.006	Cue	1	Picture	Enhance	2	12.104	n/a	67.139
39.573	4.99	Pic	1	Picture	IAPS_36	2	7.114	n/a	69.145
44.564	2.006	Blank	1	Picture	BLANK	2	5.108	n/a	74.135
51.678	n/a	ConfirmRating	1	Response	n/a	2	n/a	6	81.249
51.709	4.012	ITI	2	Picture	Fixation+	3	13.51	n/a	81.28
55.738	2.006	Cue	2	Picture	Suppress	3	11.488	n/a	85.309
57.744	4.99	Pic	2	Picture	IAPS_01	3	6.497	n/a	87.315
62.734	2.006	Blank	2	Picture	BLANK	3	4.491	n/a	92.305
69.231	n/a	ConfirmRating	2	Response	n/a	3	n/a	7	98.802
69.249	5.007	ITI	3	Picture	Fixation+	4	11.262	n/a	98.821
74.273	2.006	Cue	3	Picture	Maintain	4	9.239	n/a	103.844
76.279	4.99	Pic	3	Picture	IAPS_46	4	4.249	n/a	105.85
81.269	2.006	Blank	3	Picture	BLANK	4	2.243	n/a	110.84
85.518	n/a	ConfirmRating	3	Response	n/a	4	n/a	7	115.089
85.546	5.007	ITI	4	Picture	Fixation+	4	11.093	n/a	115.118
90.57	2.006	Cue	4	Picture	Maintain	4	9.07	n/a	120.141
92.576	4.99	Pic	4	Picture	IAPS_49	4	4.08	n/a	122.147
97.566	2.006	Blank	4	Picture	BLANK	4	2.074	n/a	127.137
101.646	n/a	ConfirmRating	4	Response	n/a	4	n/a	7	131.217
101.678	6.002	ITI	5	Picture	Fixation+	2	11.49	n/a	131.249
107.696	2.006	Cue	5	Picture	Enhance	2	9.468	n/a	137.267
109.702	4.99	Pic	5	Picture	IAPS_37	2	4.478	n/a	139.273
114.692	2.006	Blank	5	Picture	BLANK	2	2.472	n/a	144.263
119.169	n/a	ConfirmRating	5	Response	n/a	2	n/a	7	148.74
119.201	4.012	ITI	6	Picture	Fixation+	1	10.64	n/a	148.772
123.23	2.006	Cue	6	Picture	Maintain	1	8.617	n/a	152.801
125.236	4.99	Pic	6	Picture	IAPS_27	1	3.627	n/a	154.807
130.226	2.006	Blank	6	Picture	BLANK	1	1.621	n/a	159.797
133.853	n/a	ConfirmRating	6	Response	n/a	1	n/a	6	163.424
133.873	6.002	ITI	7	Picture	Fixation+	3	11.002	n/a	163.445
139.892	2.006	Cue	7	Picture	Suppress	3	8.979	n/a	169.463
141.898	4.99	Pic	7	Picture	IAPS_02	3	3.989	n/a	171.469
146.888	2.006	Blank	7	Picture	BLANK	3	1.983	n/a	176.459
150.877	n/a	ConfirmRating	7	Response	n/a	3	n/a	7	180.448
150.9	5.007	ITI	8	Picture	Fixation+	4	11.154	n/a	180.471
155.923	2.006	Cue	8	Picture	Maintain	4	9.131	n/a	185.494
157.929	4.99	Pic	8	Picture	IAPS_52	4	4.141	n/a	187.5
162.919	2.006	Blank	8	Picture	BLANK	4	2.135	n/a	192.49
167.06	n/a	ConfirmRating	8	Response	n/a	4	n/a	7	196.632
167.081	6.002	ITI	9	Picture	Fixation+	1	10.991	n/a	196.652
173.099	2.006	Cue	9	Picture	Maintain	1	8.968	n/a	202.67
175.105	4.99	Pic	9	Picture	IAPS_28	1	3.978	n/a	204.676
180.095	2.006	Blank	9	Picture	BLANK	1	1.972	n/a	209.666
184.073	n/a	ConfirmRating	9	Response	n/a	1	n/a	6	213.644
184.09	5.007	ITI	10	Picture	Fixation+	2	14.132	n/a	213.661
189.114	2.006	Cue	10	Picture	Enhance	2	12.109	n/a	218.685
191.12	4.99	Pic	10	Picture	IAPS_38	2	7.119	n/a	220.691
196.11	2.006	Blank	10	Picture	BLANK	2	5.113	n/a	225.681
203.229	n/a	ConfirmRating	10	Response	n/a	2	n/a	7	232.8
203.256	4.012	ITI	11	Picture	Fixation+	3	10.783	n/a	232.827
207.284	2.006	Cue	11	Picture	Suppress	3	8.761	n/a	236.855
209.29	4.99	Pic	11	Picture	IAPS_03	3	3.77	n/a	238.861
214.28	2.006	Blank	11	Picture	BLANK	3	1.764	n/a	243.851
218.051	n/a	ConfirmRating	11	Response	n/a	3	n/a	7	247.622
218.077	6.002	ITI	12	Picture	Fixation+	2	11.031	n/a	247.648
224.095	2.006	Cue	12	Picture	Enhance	2	9.008	n/a	253.666
226.101	4.99	Pic	12	Picture	IAPS_39	2	4.018	n/a	255.672
231.091	2.006	Blank	12	Picture	BLANK	2	2.012	n/a	260.662
235.109	n/a	ConfirmRating	12	Response	n/a	2	n/a	7	264.68
235.136	5.007	ITI	13	Picture	Fixation+	1	10.643	n/a	264.707
240.16	2.006	Cue	13	Picture	Maintain	1	8.62	n/a	269.731
242.166	4.99	Pic	13	Picture	IAPS_29	1	3.63	n/a	271.737
247.156	2.006	Blank	13	Picture	BLANK	1	1.624	n/a	276.727
250.786	n/a	ConfirmRating	13	Response	n/a	1	n/a	6	280.357
250.803	4.012	ITI	14	Picture	Fixation+	4	12.196	n/a	280.374
254.832	2.006	Cue	14	Picture	Maintain	4	10.174	n/a	284.403
256.838	4.99	Pic	14	Picture	IAPS_55	4	5.183	n/a	286.409
261.828	2.006	Blank	14	Picture	BLANK	4	3.178	n/a	291.399
267.012	n/a	ConfirmRating	14	Response	n/a	4	n/a	7	296.583
267.034	5.007	ITI	15	Picture	Fixation+	3	10.612	n/a	296.605
272.057	2.006	Cue	15	Picture	Suppress	3	8.589	n/a	301.628
274.063	4.99	Pic	15	Picture	IAPS_04	3	3.599	n/a	303.634
279.053	2.006	Blank	15	Picture	BLANK	3	1.593	n/a	308.625
282.652	n/a	ConfirmRating	15	Response	n/a	3	n/a	5	312.224
282.684	6.002	ITI	16	Picture	Fixation+	2	11.21	n/a	312.255
288.702	2.006	Cue	16	Picture	Enhance	2	9.188	n/a	318.273
290.708	4.99	Pic	16	Picture	IAPS_40	2	4.197	n/a	320.279
295.699	2.006	Blank	16	Picture	BLANK	2	2.192	n/a	325.27
299.896	n/a	ConfirmRating	16	Response	n/a	2	n/a	6	329.467
299.926	6.002	ITI	17	Picture	Fixation+	1	10.867	n/a	329.497
305.944	2.006	Cue	17	Picture	Maintain	1	8.844	n/a	335.515
307.95	4.99	Pic	17	Picture	IAPS_30	1	3.854	n/a	337.521
312.94	2.006	Blank	17	Picture	BLANK	1	1.848	n/a	342.512
316.795	n/a	ConfirmRating	17	Response	n/a	1	n/a	6	346.366
316.82	4.012	ITI	18	Picture	Fixation+	3	11.034	n/a	346.391
320.849	2.006	Cue	18	Picture	Suppress	3	9.011	n/a	350.42
322.854	4.99	Pic	18	Picture	IAPS_05	3	4.021	n/a	352.426
327.845	2.006	Blank	18	Picture	BLANK	3	2.015	n/a	357.416
331.865	n/a	ConfirmRating	18	Response	n/a	3	n/a	7	361.437
331.89	5.007	ITI	19	Picture	Fixation+	4	11.555	n/a	361.461
336.913	2.006	Cue	19	Picture	Maintain	4	9.533	n/a	366.484
338.919	4.99	Pic	19	Picture	IAPS_58	4	4.543	n/a	368.49
343.91	2.006	Blank	19	Picture	BLANK	4	2.537	n/a	373.481
348.452	n/a	ConfirmRating	19	Response	n/a	4	n/a	7	378.023
348.485	6.002	ITI	20	Picture	Fixation+	4	11.101	n/a	378.056
354.503	2.006	Cue	20	Picture	Maintain	4	9.079	n/a	384.075
356.509	4.99	Pic	20	Picture	IAPS_47	4	4.088	n/a	386.08
361.5	2.006	Blank	20	Picture	BLANK	4	2.082	n/a	391.071
365.588	n/a	ConfirmRating	20	Response	n/a	4	n/a	7	395.159
365.611	5.007	ITI	21	Picture	Fixation+	3	10.434	n/a	395.182
370.635	2.006	Cue	21	Picture	Suppress	3	8.411	n/a	400.206
372.64	4.99	Pic	21	Picture	IAPS_06	3	3.421	n/a	402.212
377.631	2.006	Blank	21	Picture	BLANK	3	1.415	n/a	407.202
381.052	n/a	ConfirmRating	21	Response	n/a	3	n/a	6	410.623
381.079	4.012	ITI	22	Picture	Fixation+	1	10.764	n/a	410.65
385.108	2.006	Cue	22	Picture	Maintain	1	8.741	n/a	414.679
387.114	4.99	Pic	22	Picture	IAPS_16	1	3.751	n/a	416.685
392.104	2.006	Blank	22	Picture	BLANK	1	1.745	n/a	421.675
395.855	n/a	ConfirmRating	22	Response	n/a	1	n/a	7	425.426
395.884	4.012	ITI	23	Picture	Fixation+	2	11.011	n/a	425.455
399.913	2.006	Cue	23	Picture	Enhance	2	8.988	n/a	429.484
401.919	4.99	Pic	23	Picture	IAPS_41	2	3.998	n/a	431.49
406.909	2.006	Blank	23	Picture	BLANK	2	1.992	n/a	436.48
410.907	n/a	ConfirmRating	23	Response	n/a	2	n/a	7	440.478
410.937	5.007	ITI	24	Picture	Fixation+	1	10.679	n/a	440.509
415.961	2.006	Cue	24	Picture	Maintain	1	8.657	n/a	445.532
417.967	4.99	Pic	24	Picture	IAPS_17	1	3.667	n/a	447.538
422.957	2.006	Blank	24	Picture	BLANK	1	1.661	n/a	452.528
426.624	n/a	ConfirmRating	24	Response	n/a	1	n/a	7	456.195
426.654	4.012	ITI	25	Picture	Fixation+	2	10.93	n/a	456.225
430.683	2.006	Cue	25	Picture	Enhance	2	8.908	n/a	460.254
432.689	4.99	Pic	25	Picture	IAPS_42	2	3.918	n/a	462.26
437.679	2.006	Blank	25	Picture	BLANK	2	1.912	n/a	467.25
441.596	n/a	ConfirmRating	25	Response	n/a	2	n/a	7	471.168
441.625	6.002	ITI	26	Picture	Fixation+	4	10.645	n/a	471.196
447.643	2.006	Cue	26	Picture	Maintain	4	8.622	n/a	477.214
449.649	4.99	Pic	26	Picture	IAPS_50	4	3.632	n/a	479.22
454.639	2.006	Blank	26	Picture	BLANK	4	1.626	n/a	484.21
458.271	n/a	ConfirmRating	26	Response	n/a	4	n/a	7	487.842
458.303	5.007	ITI	27	Picture	Fixation+	3	11.171	n/a	487.874
463.326	2.006	Cue	27	Picture	Suppress	3	9.149	n/a	492.897
465.332	4.99	Pic	27	Picture	IAPS_07	3	4.158	n/a	494.903
470.322	2.006	Blank	27	Picture	BLANK	3	2.152	n/a	499.894
474.481	n/a	ConfirmRating	27	Response	n/a	3	n/a	7	504.052
474.5	5.007	ITI	28	Picture	Fixation+	2	10.894	n/a	504.072
479.524	2.006	Cue	28	Picture	Enhance	2	8.871	n/a	509.095
481.53	4.99	Pic	28	Picture	IAPS_43	2	3.881	n/a	511.101
486.52	2.006	Blank	28	Picture	BLANK	2	1.875	n/a	516.091
490.401	n/a	ConfirmRating	28	Response	n/a	2	n/a	7	519.972
490.433	4.012	ITI	29	Picture	Fixation+	3	10.663	n/a	520.004
494.461	2.006	Cue	29	Picture	Suppress	3	8.64	n/a	524.032
496.467	4.99	Pic	29	Picture	IAPS_08	3	3.65	n/a	526.038
501.457	2.006	Blank	29	Picture	BLANK	3	1.644	n/a	531.029
505.107	n/a	ConfirmRating	29	Response	n/a	3	n/a	5	534.678
505.138	15.004	Rest	29	Picture	Rest	n/a	-15.034	n/a	534.709
520.158	5.007	ITI	30	Picture	Fixation+	4	10.795	n/a	549.729
525.182	2.006	Cue	30	Picture	Maintain	4	8.772	n/a	554.753
527.188	4.99	Pic	30	Picture	IAPS_53	4	3.782	n/a	556.759
532.178	2.006	Blank	30	Picture	BLANK	4	1.776	n/a	561.749
535.96	n/a	ConfirmRating	30	Response	n/a	4	n/a	7	565.531
535.991	6.002	ITI	31	Picture	Fixation+	1	10.256	n/a	565.562
542.009	2.006	Cue	31	Picture	Maintain	1	8.233	n/a	571.58
544.015	4.99	Pic	31	Picture	IAPS_18	1	3.243	n/a	573.586
549.005	2.006	Blank	31	Picture	BLANK	1	1.237	n/a	578.576
552.248	n/a	ConfirmRating	31	Response	n/a	1	n/a	5	581.819
552.271	4.012	ITI	32	Picture	Fixation+	3	10.902	n/a	581.842
556.3	2.006	Cue	32	Picture	Suppress	3	8.879	n/a	585.871
558.306	4.99	Pic	32	Picture	IAPS_09	3	3.889	n/a	587.877
563.296	2.006	Blank	32	Picture	BLANK	3	1.883	n/a	592.867
567.185	n/a	ConfirmRating	32	Response	n/a	3	n/a	5	596.756
567.209	5.007	ITI	33	Picture	Fixation+	1	10.245	n/a	596.78
572.232	2.006	Cue	33	Picture	Maintain	1	8.223	n/a	601.803
574.238	4.99	Pic	33	Picture	IAPS_19	1	3.233	n/a	603.809
579.228	2.006	Blank	33	Picture	BLANK	1	1.227	n/a	608.799
582.461	n/a	ConfirmRating	33	Response	n/a	1	n/a	5	612.032
582.478	4.012	ITI	34	Picture	Fixation+	2	11.074	n/a	612.049
586.506	2.006	Cue	34	Picture	Enhance	2	9.051	n/a	616.077
588.512	4.99	Pic	34	Picture	IAPS_44	2	4.061	n/a	618.083
593.503	2.006	Blank	34	Picture	BLANK	2	2.055	n/a	623.074
597.564	n/a	ConfirmRating	34	Response	n/a	2	n/a	7	627.135
597.581	6.002	ITI	35	Picture	Fixation+	4	11.208	n/a	627.152
603.599	2.006	Cue	35	Picture	Maintain	4	9.185	n/a	633.17
605.605	4.99	Pic	35	Picture	IAPS_56	4	4.195	n/a	635.176
610.595	2.006	Blank	35	Picture	BLANK	4	2.189	n/a	640.166
614.79	n/a	ConfirmRating	35	Response	n/a	4	n/a	7	644.361
614.823	5.007	ITI	36	Picture	Fixation+	3	11.111	n/a	644.394
619.846	2.006	Cue	36	Picture	Suppress	3	9.089	n/a	649.417
621.852	4.99	Pic	36	Picture	IAPS_10	3	4.099	n/a	651.423
626.842	2.006	Blank	36	Picture	BLANK	3	2.093	n/a	656.413
630.941	n/a	ConfirmRating	36	Response	n/a	3	n/a	5	660.512
630.971	6.002	ITI	37	Picture	Fixation+	4	10.966	n/a	660.542
636.989	2.006	Cue	37	Picture	Maintain	4	8.943	n/a	666.56
638.995	4.99	Pic	37	Picture	IAPS_59	4	3.953	n/a	668.566
643.985	2.006	Blank	37	Picture	BLANK	4	1.947	n/a	673.556
647.938	n/a	ConfirmRating	37	Response	n/a	4	n/a	7	677.509
647.964	5.007	ITI	38	Picture	Fixation+	2	10.847	n/a	677.535
652.987	2.006	Cue	38	Picture	Enhance	2	8.824	n/a	682.558
654.993	4.99	Pic	38	Picture	IAPS_45	2	3.834	n/a	684.564
659.983	2.006	Blank	38	Picture	BLANK	2	1.828	n/a	689.554
663.817	n/a	ConfirmRating	38	Response	n/a	2	n/a	7	693.389
663.846	4.012	ITI	39	Picture	Fixation+	1	10.171	n/a	693.417
