onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.32	06:45:28	1	16429	1	1	6	11	12	6	9	8	5	n/a	n/a	16,2	1
11.0	n/a	1.371	06:45:39	1	27252	2	2	6	8	7	2	5	14	16	n/a	n/a	2,3	0
22.0	n/a	2.7	06:45:50	1	39426	3	3	6	5	3	14	15	1	16	n/a	n/a	3,6	1
34.0	n/a	1.428	06:46:02	1	44681	4	4	2	8	9	n/a	n/a	n/a	n/a	n/a	n/a	9,2	1
39.0	n/a	1.117	06:46:07	1	49622	5	5	2	16	8	n/a	n/a	n/a	n/a	n/a	n/a	3,2	1
44.0	n/a	1.102	06:46:12	1	54546	6	6	2	13	15	n/a	n/a	n/a	n/a	n/a	n/a	10,1	1
49.0	n/a	1.355	06:46:17	1	59724	7	7	2	11	13	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
54.0	n/a	1.855	06:46:22	1	71021	8	8	6	3	4	2	9	16	14	n/a	n/a	3,1	1
66.0	n/a	3.128	06:46:34	1	83593	9	9	6	2	1	13	8	10	4	n/a	n/a	3,2	0
78.0	n/a	1.281	06:46:46	1	88699	10	10	2	4	7	n/a	n/a	n/a	n/a	n/a	n/a	7,2	1
83.0	n/a	2.17	06:46:51	1	100314	11	11	6	12	9	1	5	11	8	n/a	n/a	1,3	1
95.0	n/a	1.552	06:47:03	1	105711	12	12	2	4	8	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
