onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	4.44	06:46:53	1	19513	1	1	6	9	15	1	8	16	2	n/a	n/a	8,4	1
14.0	n/a	1.224	06:47:07	1	24586	2	2	2	9	10	n/a	n/a	n/a	n/a	n/a	n/a	10,1	1
20.0	n/a	1.154	06:47:13	1	30043	3	3	2	8	15	n/a	n/a	n/a	n/a	n/a	n/a	8,1	1
25.0	n/a	1.27	06:47:18	1	41311	4	4	6	10	4	7	8	15	11	n/a	n/a	7,3	1
37.0	n/a	1.202	06:47:30	1	46852	5	5	2	15	16	n/a	n/a	n/a	n/a	n/a	n/a	12,1	1
42.0	n/a	1.054	06:47:35	1	52164	6	6	2	2	16	n/a	n/a	n/a	n/a	n/a	n/a	2,1	1
47.0	n/a	1.138	06:47:40	1	62779	7	7	6	3	11	5	4	2	15	n/a	n/a	10,2	1
58.0	n/a	1.462	06:47:51	1	73712	8	8	6	15	3	10	8	6	9	n/a	n/a	8,4	1
69.0	n/a	1.085	06:48:02	1	84263	9	9	6	11	15	10	1	2	12	n/a	n/a	2,5	1
79.0	n/a	1.122	06:48:12	1	89229	10	10	2	11	6	n/a	n/a	n/a	n/a	n/a	n/a	6,2	1
84.0	n/a	1.216	06:48:17	1	99908	11	11	6	5	9	3	10	15	14	n/a	n/a	8,1	1
95.0	n/a	1.078	06:48:28	1	104839	12	12	2	10	15	n/a	n/a	n/a	n/a	n/a	n/a	15,2	1
