onset	duration	response_time
8.3	n/a	0.233
15.2	n/a	0.218
24.8	n/a	0.215
33.1	n/a	0.332
43.2	n/a	0.231
46.1	n/a	0.275
49.5	n/a	0.262
56.5	n/a	0.182
63.5	n/a	0.221
69.6	n/a	0.316
77.6	n/a	0.248
82.8	n/a	0.261
92.5	n/a	0.258
101.7	n/a	0.185
109.3	n/a	0.320
117.9	n/a	0.202
121.4	n/a	0.322
128.8	n/a	0.325
133.5	n/a	0.243
142.7	n/a	0.264
150.2	n/a	0.230
155.5	n/a	0.229
159.3	n/a	0.440
168.2	n/a	0.287
171.6	n/a	0.297
181.7	n/a	0.356
184.6	n/a	0.412
187.9	n/a	0.253
194.3	n/a	0.230
200.5	n/a	0.231
203.0	n/a	0.217
209.5	n/a	0.238
219.5	n/a	0.223
224.6	n/a	0.414
230.0	n/a	0.382
232.4	n/a	0.250
241.8	n/a	0.199
244.8	n/a	0.273
252.1	n/a	0.269
261.1	n/a	0.409
271.3	n/a	0.234
278.6	n/a	0.434
285.8	n/a	0.255
291.3	n/a	0.242
295.1	n/a	0.287
297.6	n/a	0.345
