onset	duration	response_time
17.8	n/a	0.231
22.7	n/a	0.232
27.0	n/a	0.204
37.0	n/a	0.190
42.4	n/a	0.219
45.9	n/a	0.261
52.3	n/a	0.201
56.7	n/a	0.218
61.2	n/a	0.251
65.7	n/a	0.221
70.8	n/a	0.213
80.8	n/a	0.239
86.4	n/a	0.210
92.1	n/a	0.217
101.9	n/a	0.203
107.4	n/a	0.212
110.7	n/a	0.233
117.8	n/a	0.226
125.9	n/a	0.294
129.7	n/a	0.295
139.5	n/a	0.273
142.3	n/a	0.489
147.3	n/a	0.357
151.2	n/a	0.389
158.8	n/a	0.258
162.6	n/a	0.274
170.7	n/a	0.220
176.9	n/a	0.214
181.8	n/a	0.285
190.7	n/a	0.263
193.5	n/a	0.297
199.7	n/a	0.229
204.1	n/a	0.457
213.6	n/a	0.222
221.9	n/a	0.232
230.5	n/a	0.266
240.3	n/a	0.264
248.2	n/a	0.402
254.4	n/a	0.317
258.6	n/a	0.335
262.8	n/a	0.260
270.0	n/a	0.213
273.8	n/a	0.327
283.5	n/a	0.254
287.4	n/a	0.470
293.5	n/a	0.269
