onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.414	06:25:59	1	10865	1	1	2	3	5	n/a	n/a	n/a	n/a	n/a	n/a	10,2	1
5.0	n/a	1.635	06:26:04	1	21961	2	2	6	6	12	13	5	16	4	n/a	n/a	4,6	1
16.0	n/a	1.551	06:26:15	1	27354	3	3	2	3	10	n/a	n/a	n/a	n/a	n/a	n/a	5,1	1
22.0	n/a	1.612	06:26:21	1	38877	4	4	6	9	1	15	6	3	8	n/a	n/a	9,1	0
33.0	n/a	2.52	06:26:32	1	45237	5	5	2	5	6	n/a	n/a	n/a	n/a	n/a	n/a	6,2	1
40.0	n/a	1.758	06:26:39	1	56731	6	6	6	13	6	2	9	3	16	n/a	n/a	8,6	0
51.0	n/a	7.209	06:26:50	1	73417	7	7	6	16	7	1	2	3	4	n/a	n/a	9,2	0
68.0	n/a	1.777	06:27:07	1	79034	8	8	2	14	13	n/a	n/a	n/a	n/a	n/a	n/a	16,1	1
73.0	n/a	2.132	06:27:12	1	85015	9	9	2	12	14	n/a	n/a	n/a	n/a	n/a	n/a	3,1	1
80.0	n/a	1.875	06:27:19	1	91086	10	10	2	14	2	n/a	n/a	n/a	n/a	n/a	n/a	2,2	1
85.0	n/a	4.187	06:27:24	1	104728	11	11	6	15	2	9	3	4	12	n/a	n/a	9,3	1
100.0	n/a	2.928	06:27:39	1	117503	12	12	6	10	14	16	6	4	3	n/a	n/a	13,6	1
