onset	duration	response_time
14.6	n/a	0.236
17.3	n/a	0.297
25.9	n/a	0.245
29.1	n/a	0.248
36.4	n/a	0.218
40.3	n/a	0.235
48.8	n/a	0.221
52.8	n/a	0.296
56.8	n/a	0.265
65.0	n/a	0.199
69.1	n/a	0.253
76.4	n/a	0.210
81.3	n/a	0.213
84.8	n/a	0.237
87.7	n/a	0.213
93.9	n/a	0.192
96.4	n/a	0.305
99.9	n/a	0.252
106.1	n/a	0.237
109.9	n/a	0.226
116.7	n/a	0.213
124.8	n/a	0.247
134.3	n/a	0.221
138.8	n/a	0.255
145.6	n/a	0.258
148.9	n/a	0.324
158.9	n/a	0.281
166.4	n/a	0.310
174.8	n/a	0.265
183.4	n/a	0.211
190.6	n/a	0.229
196.1	n/a	0.224
200.1	n/a	0.222
206.5	n/a	0.231
209.0	n/a	0.301
218.4	n/a	0.193
222.6	n/a	0.235
226.9	n/a	0.264
234.0	n/a	0.229
242.3	n/a	0.260
247.4	n/a	0.272
251.8	n/a	0.328
254.4	n/a	0.268
263.1	n/a	0.223
268.4	n/a	0.235
278.4	n/a	0.222
282.6	n/a	0.242
286.4	n/a	0.272
291.5	n/a	0.206
295.1	n/a	0.236
