onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	6.994	04:55:34	1	22535	1	1	6	1	12	5	16	10	4	n/a	n/a	6,4	0
17.0	n/a	1.434	04:55:51	1	27815	2	2	2	7	8	n/a	n/a	n/a	n/a	n/a	n/a	7,1	1
22.0	n/a	1.752	04:55:56	1	33409	3	3	2	16	9	n/a	n/a	n/a	n/a	n/a	n/a	9,2	1
28.0	n/a	2.281	04:56:02	1	45608	4	4	6	13	6	1	9	8	12	n/a	n/a	12,6	0
40.0	n/a	2.12	04:56:14	1	57215	5	5	6	12	5	15	4	9	3	n/a	n/a	9,5	0
52.0	n/a	2.043	04:56:26	1	63104	6	6	2	3	6	n/a	n/a	n/a	n/a	n/a	n/a	14,2	1
57.0	n/a	2.039	04:56:31	1	74623	7	7	6	1	3	7	14	4	10	n/a	n/a	1,5	1
69.0	n/a	3.236	04:56:43	1	87320	8	8	6	11	14	8	7	2	9	n/a	n/a	4,1	1
82.0	n/a	1.387	04:56:56	1	92550	9	9	2	12	8	n/a	n/a	n/a	n/a	n/a	n/a	8,2	1
87.0	n/a	1.289	04:57:01	1	97680	10	10	2	1	5	n/a	n/a	n/a	n/a	n/a	n/a	5,2	1
92.0	n/a	1.127	04:57:06	1	103130	11	11	2	13	4	n/a	n/a	n/a	n/a	n/a	n/a	4,2	1
98.0	n/a	2.394	04:57:12	1	115152	12	12	6	13	10	11	16	7	5	n/a	n/a	11,3	1
