onset	duration	response_time
16.2	n/a	0.236
22.5	n/a	0.332
25.6	n/a	0.430
32.9	n/a	0.372
41.9	n/a	0.293
47.5	n/a	0.289
51.3	n/a	0.304
57.9	n/a	0.294
67.1	n/a	0.293
72.3	n/a	0.327
81.8	n/a	0.424
87.5	n/a	0.314
93.9	n/a	0.243
102.5	n/a	0.283
105.8	n/a	0.481
111.2	n/a	0.304
120.7	n/a	0.401
126.5	n/a	0.268
129.1	n/a	0.550
137.6	n/a	0.275
142.1	n/a	0.443
146.7	n/a	0.312
149.4	n/a	0.432
153.4	n/a	0.332
157.0	n/a	0.278
163.8	n/a	0.287
172.8	n/a	0.247
179.5	n/a	0.353
185.1	n/a	0.330
193.7	n/a	0.270
198.9	n/a	0.335
208.1	n/a	0.251
211.1	n/a	0.473
218.6	n/a	0.281
226.9	n/a	0.296
233.9	n/a	0.332
239.3	n/a	0.343
242.9	n/a	0.324
249.0	n/a	0.548
253.5	n/a	0.276
263.2	n/a	0.245
269.9	n/a	0.304
273.3	n/a	0.386
281.8	n/a	0.264
288.3	n/a	0.313
293.0	n/a	0.337
