onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.489	06:03:37	1	10949	1	1	2	11	7	n/a	n/a	n/a	n/a	n/a	n/a	7,2	1
5.0	n/a	1.747	06:03:42	1	22166	2	2	6	14	2	8	3	9	7	n/a	n/a	14,1	0
16.0	n/a	1.672	06:03:53	1	28028	3	3	2	4	11	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
22.0	n/a	1.251	06:03:59	1	33137	4	4	2	1	9	n/a	n/a	n/a	n/a	n/a	n/a	9,2	1
27.0	n/a	1.893	06:04:04	1	39235	5	5	2	13	15	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
33.0	n/a	1.533	06:04:10	1	44599	6	6	2	15	7	n/a	n/a	n/a	n/a	n/a	n/a	15,1	1
39.0	n/a	1.609	06:04:16	1	55676	7	7	6	11	4	9	3	5	2	n/a	n/a	16,5	1
50.0	n/a	3.43	06:04:27	1	69094	8	8	6	16	4	3	11	2	14	n/a	n/a	12,1	1
63.0	n/a	2.351	06:04:40	1	80904	9	9	6	13	15	4	9	8	7	n/a	n/a	15,2	0
75.0	n/a	1.964	06:04:52	1	92330	10	10	6	8	12	10	16	5	4	n/a	n/a	4,6	1
86.0	n/a	1.331	06:05:03	1	103110	11	11	6	12	2	9	16	7	6	n/a	n/a	6,6	1
97.0	n/a	1.382	06:05:14	1	108352	12	12	2	15	11	n/a	n/a	n/a	n/a	n/a	n/a	7,2	1
