onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.185	04:51:09	1	10666	1	1	2	8	4	n/a	n/a	n/a	n/a	n/a	n/a	1,1	1
5.0	n/a	2.635	04:51:14	1	22769	2	2	6	5	12	1	15	13	11	n/a	n/a	15,4	1
17.0	n/a	3.304	04:51:26	1	35536	3	3	6	11	10	15	2	7	9	n/a	n/a	7,4	0
29.0	n/a	1.028	04:51:38	1	40410	4	4	2	9	1	n/a	n/a	n/a	n/a	n/a	n/a	9,1	1
34.0	n/a	1.125	04:51:43	1	45383	5	5	2	6	14	n/a	n/a	n/a	n/a	n/a	n/a	16,1	1
39.0	n/a	0.869	04:51:48	1	50092	6	6	2	13	5	n/a	n/a	n/a	n/a	n/a	n/a	5,2	1
44.0	n/a	1.218	04:51:53	1	60768	7	7	6	13	6	11	2	4	16	n/a	n/a	4,5	1
55.0	n/a	0.972	04:52:04	1	65589	8	8	2	14	4	n/a	n/a	n/a	n/a	n/a	n/a	4,2	1
59.0	n/a	3.483	04:52:08	1	78553	9	9	6	14	16	11	6	8	9	n/a	n/a	11,3	1
72.0	n/a	0.863	04:52:21	1	83262	10	10	2	13	6	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
77.0	n/a	2.243	04:52:26	1	94973	11	11	6	12	6	4	2	10	7	n/a	n/a	8,6	1
89.0	n/a	4.981	04:52:38	1	109423	12	12	6	8	5	3	4	16	10	n/a	n/a	8,3	0
