onset	duration	response_time
13.2	n/a	0.266
21.6	n/a	0.201
27.0	n/a	0.241
29.9	n/a	0.266
35.9	n/a	0.229
41.6	n/a	0.232
50.8	n/a	0.212
58.5	n/a	0.215
65.2	n/a	0.255
71.2	n/a	0.231
80.0	n/a	0.199
87.1	n/a	0.201
90.8	n/a	0.293
96.0	n/a	0.217
99.7	n/a	0.287
106.6	n/a	0.001
110.0	n/a	0.489
115.2	n/a	0.235
124.4	n/a	0.202
127.4	n/a	0.331
130.9	n/a	0.218
136.5	n/a	0.198
146.4	n/a	0.251
156.6	n/a	0.221
164.8	n/a	0.190
174.2	n/a	0.203
183.2	n/a	0.216
190.0	n/a	0.342
197.3	n/a	0.255
204.3	n/a	0.205
206.8	n/a	0.299
214.7	n/a	0.200
224.0	n/a	0.271
230.7	n/a	0.247
234.9	n/a	0.233
242.1	n/a	0.210
251.3	n/a	0.246
254.2	n/a	0.233
260.3	n/a	0.273
268.1	n/a	0.198
272.2	n/a	0.334
280.1	n/a	0.241
290.0	n/a	0.199
297.3	n/a	0.267
