onset	duration	response_time
18.1	n/a	0.459
27.3	n/a	0.309
37.2	n/a	0.252
39.9	n/a	0.456
43.9	n/a	0.294
50.0	n/a	0.313
55.7	n/a	0.274
62.2	n/a	0.245
67.1	n/a	0.297
70.8	n/a	0.230
75.7	n/a	0.258
81.5	n/a	0.340
88.3	n/a	1.020
95.8	n/a	0.308
99.8	n/a	0.325
109.7	n/a	0.295
114.9	n/a	0.352
122.9	n/a	0.562
132.2	n/a	0.371
139.3	n/a	0.274
148.5	n/a	0.354
154.2	n/a	0.334
159.3	n/a	0.293
162.3	n/a	0.303
166.3	n/a	0.376
170.3	n/a	0.440
180.4	n/a	0.281
185.8	n/a	0.322
194.3	n/a	0.251
201.8	n/a	0.255
206.1	n/a	0.323
214.6	n/a	0.369
219.1	n/a	0.336
226.4	n/a	0.280
236.6	n/a	0.294
244.3	n/a	0.250
251.3	n/a	0.246
255.6	n/a	0.354
259.9	n/a	0.261
269.2	n/a	0.254
278.8	n/a	0.237
287.9	n/a	0.253
292.6	n/a	0.227
297.8	n/a	0.309
