onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
0.019	10.014	Instruction	-1	Picture	Instruction	n/a	n/a	n/a	32.539
10.049	5.007	ITI	0	Picture	Fixation+	1	11.858	n/a	42.569
15.072	2.006	Cue	0	Picture	Maintain	1	9.835	n/a	47.592
17.078	4.99	Pic	0	Picture	IAPS_01	1	4.845	n/a	49.598
22.068	2.006	Blank	0	Picture	BLANK	1	2.839	n/a	54.588
26.913	n/a	ConfirmRating	0	Response	n/a	1	n/a	7	59.434
26.942	6.002	ITI	1	Picture	Fixation+	2	12.495	n/a	59.462
32.96	2.006	Cue	1	Picture	Enhance	2	10.473	n/a	65.481
34.966	4.99	Pic	1	Picture	IAPS_26	2	5.483	n/a	67.487
39.957	2.006	Blank	1	Picture	BLANK	2	3.477	n/a	72.477
45.439	n/a	ConfirmRating	1	Response	n/a	2	n/a	6	77.959
45.461	4.012	ITI	2	Picture	Fixation+	3	11.103	n/a	77.981
49.489	2.006	Cue	2	Picture	Suppress	3	9.08	n/a	82.01
51.495	4.99	Pic	2	Picture	IAPS_36	3	4.09	n/a	84.016
56.486	2.006	Blank	2	Picture	BLANK	3	2.084	n/a	89.006
60.576	n/a	ConfirmRating	2	Response	n/a	3	n/a	0	93.096
60.597	5.007	ITI	3	Picture	Fixation+	4	11.867	n/a	93.117
65.621	2.006	Cue	3	Picture	Maintain	4	9.844	n/a	98.141
67.627	4.99	Pic	3	Picture	IAPS_46	4	4.854	n/a	100.147
72.617	2.006	Blank	3	Picture	BLANK	4	2.848	n/a	105.137
77.471	n/a	ConfirmRating	3	Response	n/a	4	n/a	7	109.991
77.491	5.007	ITI	4	Picture	Fixation+	4	11.485	n/a	110.011
82.514	2.006	Cue	4	Picture	Maintain	4	9.462	n/a	115.034
84.52	4.99	Pic	4	Picture	IAPS_49	4	4.472	n/a	117.04
89.51	2.006	Blank	4	Picture	BLANK	4	2.466	n/a	122.031
93.982	n/a	ConfirmRating	4	Response	n/a	4	n/a	6	126.502
94.003	6.002	ITI	5	Picture	Fixation+	2	11.994	n/a	126.523
100.021	2.006	Cue	5	Picture	Enhance	2	9.972	n/a	132.541
102.027	4.99	Pic	5	Picture	IAPS_27	2	4.981	n/a	134.547
107.017	2.006	Blank	5	Picture	BLANK	2	2.975	n/a	139.538
111.999	n/a	ConfirmRating	5	Response	n/a	2	n/a	6	144.519
112.024	4.012	ITI	6	Picture	Fixation+	1	14.282	n/a	144.544
116.053	2.006	Cue	6	Picture	Maintain	1	12.26	n/a	148.573
118.059	4.99	Pic	6	Picture	IAPS_02	1	7.269	n/a	150.579
123.049	2.006	Blank	6	Picture	BLANK	1	5.264	n/a	155.569
130.319	n/a	ConfirmRating	6	Response	n/a	1	n/a	6	162.839
130.344	6.002	ITI	7	Picture	Fixation+	3	13.543	n/a	162.864
136.362	2.006	Cue	7	Picture	Suppress	3	11.52	n/a	168.882
138.368	4.99	Pic	7	Picture	IAPS_37	3	6.53	n/a	170.888
143.358	2.006	Blank	7	Picture	BLANK	3	4.524	n/a	175.878
149.888	n/a	ConfirmRating	7	Response	n/a	3	n/a	4	182.408
149.907	5.007	ITI	8	Picture	Fixation+	4	11.92	n/a	182.427
154.93	2.006	Cue	8	Picture	Maintain	4	9.897	n/a	187.45
