onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.473	04:34:10	1	10966	1	1	2	9	2	n/a	n/a	n/a	n/a	n/a	n/a	3,1	1
6.0	n/a	3.115	04:34:16	1	23528	2	2	6	12	6	11	10	1	5	n/a	n/a	10,4	1
18.0	n/a	1.058	04:34:28	1	28411	3	3	2	8	13	n/a	n/a	n/a	n/a	n/a	n/a	2,2	1
23.0	n/a	2.599	04:34:33	1	40451	4	4	6	11	7	15	4	6	1	n/a	n/a	4,4	1
35.0	n/a	1.047	04:34:45	1	45323	5	5	2	12	13	n/a	n/a	n/a	n/a	n/a	n/a	6,2	1
40.0	n/a	1.459	04:34:50	1	56223	6	6	6	7	5	2	15	14	6	n/a	n/a	11,6	1
51.0	n/a	1.192	04:35:01	1	61241	7	7	2	4	9	n/a	n/a	n/a	n/a	n/a	n/a	8,1	1
56.0	n/a	1.048	04:35:06	1	66137	8	8	2	7	10	n/a	n/a	n/a	n/a	n/a	n/a	7,1	1
61.0	n/a	1.339	04:35:11	1	76937	9	9	6	10	7	8	2	1	9	n/a	n/a	10,1	1
72.0	n/a	1.304	04:35:22	1	87685	10	10	6	14	3	11	4	2	6	n/a	n/a	14,1	1
82.0	n/a	2.547	04:35:32	1	99677	11	11	6	14	10	4	13	2	8	n/a	n/a	11,5	1
94.0	n/a	0.933	04:35:44	1	104433	12	12	2	4	3	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
