onset	duration	response_time
12.3	n/a	0.183
19.1	n/a	0.216
27.4	n/a	0.199
32.5	n/a	0.283
42.2	n/a	0.256
49.2	n/a	0.294
51.7	n/a	0.470
56.6	n/a	0.246
66.2	n/a	0.263
71.9	n/a	0.283
76.6	n/a	0.300
82.3	n/a	0.269
90.4	n/a	0.206
96.6	n/a	0.227
101.0	n/a	0.345
104.9	n/a	0.254
112.0	n/a	0.206
118.2	n/a	0.297
126.3	n/a	0.241
132.2	n/a	0.276
134.9	n/a	0.483
139.7	n/a	0.267
148.7	n/a	0.272
152.7	n/a	0.332
160.8	n/a	0.290
164.4	n/a	0.427
174.1	n/a	0.212
182.6	n/a	0.225
190.5	n/a	0.311
196.0	n/a	0.313
203.5	n/a	0.271
211.4	n/a	0.305
215.2	n/a	0.406
223.4	n/a	0.232
232.2	n/a	0.277
240.7	n/a	0.270
248.0	n/a	0.267
251.4	n/a	0.404
258.0	n/a	0.213
260.8	n/a	0.350
269.5	n/a	0.235
277.2	n/a	0.248
281.4	n/a	0.282
290.2	n/a	0.286
298.2	n/a	0.393
