onset	duration	response_time
12.7	n/a	0.249
19.2	n/a	0.286
22.0	n/a	0.272
30.5	n/a	0.284
39.0	n/a	0.293
46.7	n/a	0.265
55.7	n/a	1.183
61.8	n/a	1.263
68.4	n/a	0.302
77.2	n/a	0.293
82.8	n/a	0.314
90.8	n/a	0.249
97.7	n/a	0.269
102.9	n/a	0.243
110.6	n/a	0.277
116.6	n/a	0.287
119.9	n/a	0.383
122.5	n/a	0.270
128.0	n/a	0.257
133.0	n/a	0.255
140.4	n/a	0.308
148.5	n/a	0.327
156.5	n/a	0.298
162.2	n/a	0.250
171.5	n/a	0.299
178.6	n/a	0.278
188.4	n/a	0.306
191.1	n/a	0.427
199.8	n/a	0.266
202.9	n/a	0.325
210.9	n/a	0.292
218.5	n/a	0.352
226.3	n/a	0.293
235.6	n/a	0.316
245.0	n/a	0.296
248.3	n/a	0.284
258.5	n/a	0.258
267.7	n/a	0.331
274.6	n/a	0.309
280.8	n/a	0.288
286.7	n/a	0.259
290.8	n/a	0.297
294.1	n/a	0.260
296.5	n/a	0.279
