onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.498	04:43:44	1	10969	1	1	2	12	8	n/a	n/a	n/a	n/a	n/a	n/a	1,1	1
5.0	n/a	1.553	04:43:49	1	16369	2	2	2	4	2	n/a	n/a	n/a	n/a	n/a	n/a	2,2	1
10.0	n/a	1.283	04:43:54	1	21497	3	3	2	6	3	n/a	n/a	n/a	n/a	n/a	n/a	13,2	1
15.0	n/a	2.889	04:43:59	1	33846	4	4	6	1	15	5	6	16	2	n/a	n/a	14,4	1
28.0	n/a	2.348	04:44:12	1	40411	5	5	2	9	16	n/a	n/a	n/a	n/a	n/a	n/a	8,1	1
34.0	n/a	1.457	04:44:18	1	45714	6	6	2	4	2	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
40.0	n/a	1.528	04:44:24	1	56700	7	7	6	15	6	9	7	1	3	n/a	n/a	5,5	1
51.0	n/a	1.325	04:44:35	1	67494	8	8	6	3	2	13	6	1	4	n/a	n/a	6,4	0
62.0	n/a	1.79	04:44:46	1	78765	9	9	6	4	3	10	9	5	7	n/a	n/a	4,1	1
73.0	n/a	1.428	04:44:57	1	84036	10	10	2	9	15	n/a	n/a	n/a	n/a	n/a	n/a	15,2	1
78.0	n/a	1.454	04:45:02	1	94953	11	11	6	10	11	2	8	13	12	n/a	n/a	2,3	0
89.0	n/a	1.575	04:45:13	1	106000	12	12	6	2	5	13	16	8	11	n/a	n/a	16,4	0
