onset	duration	response_time
10.3	n/a	0.240
15.0	n/a	0.204
23.8	n/a	0.229
27.9	n/a	0.229
31.4	n/a	0.266
39.3	n/a	0.228
48.5	n/a	0.278
52.6	n/a	0.295
61.9	n/a	0.225
66.2	n/a	0.266
74.2	n/a	0.207
81.9	n/a	0.225
87.0	n/a	0.278
90.7	n/a	0.304
93.3	n/a	0.210
99.5	n/a	0.251
104.4	n/a	0.244
114.2	n/a	0.225
122.6	n/a	0.212
130.9	n/a	0.335
140.3	n/a	0.248
145.2	n/a	0.259
147.9	n/a	0.212
156.5	n/a	0.253
161.5	n/a	0.297
166.0	n/a	0.338
171.1	n/a	0.245
175.4	n/a	0.219
179.2	n/a	0.274
181.7	n/a	0.248
186.3	n/a	0.234
188.7	n/a	0.317
193.0	n/a	0.216
196.0	n/a	0.251
204.8	n/a	0.240
208.1	n/a	0.267
215.2	n/a	0.246
219.0	n/a	0.273
222.1	n/a	0.304
224.3	n/a	0.244
230.6	n/a	0.281
235.2	n/a	0.236
241.9	n/a	0.278
246.0	n/a	0.240
252.2	n/a	0.229
259.8	n/a	0.280
268.9	n/a	0.267
276.5	n/a	0.294
281.9	n/a	0.278
290.3	n/a	0.239
