onset	duration	response_time
14.5	n/a	0.323
22.1	n/a	0.254
30.9	n/a	0.259
38.4	n/a	0.247
46.6	n/a	0.210
50.7	n/a	0.248
56.3	n/a	0.198
64.0	n/a	0.212
66.5	n/a	0.320
73.5	n/a	0.236
80.0	n/a	0.242
83.8	n/a	0.221
91.0	n/a	0.239
99.0	n/a	0.222
105.7	n/a	0.235
114.5	n/a	0.244
117.4	n/a	0.284
126.4	n/a	0.245
130.3	n/a	0.276
135.6	n/a	0.218
139.3	n/a	0.288
145.3	n/a	0.262
150.4	n/a	0.233
152.9	n/a	0.238
163.0	n/a	0.274
167.7	n/a	0.274
171.6	n/a	0.296
174.8	n/a	0.268
183.3	n/a	0.259
188.3	n/a	0.292
191.8	n/a	0.225
195.9	n/a	0.257
199.2	n/a	0.221
208.1	n/a	0.336
217.5	n/a	0.204
221.7	n/a	0.241
230.6	n/a	0.251
234.5	n/a	0.246
239.6	n/a	0.209
244.1	n/a	0.267
253.5	n/a	0.256
257.9	n/a	0.247
265.8	n/a	0.289
273.3	n/a	0.246
280.9	n/a	0.280
290.9	n/a	0.239
295.8	n/a	0.297
298.4	n/a	0.309
