onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	2.486	05:00:20	1	12034	1	1	2	8	16	n/a	n/a	n/a	n/a	n/a	n/a	8,1	1
6.0	n/a	1.432	05:00:26	1	22949	2	2	6	13	3	6	4	7	5	n/a	n/a	11,2	1
17.0	n/a	1.35	05:00:37	1	28141	3	3	2	11	8	n/a	n/a	n/a	n/a	n/a	n/a	8,2	1
22.0	n/a	3.627	05:00:42	1	41230	4	4	6	5	4	3	1	16	14	n/a	n/a	1,4	1
35.0	n/a	1.881	05:00:55	1	52580	5	5	6	7	4	15	3	9	5	n/a	n/a	4,2	0
47.0	n/a	2.487	05:01:07	1	64920	6	6	6	4	2	16	5	7	12	n/a	n/a	2,2	1
59.0	n/a	1.876	05:01:19	1	70642	7	7	2	9	13	n/a	n/a	n/a	n/a	n/a	n/a	13,2	1
65.0	n/a	1.484	05:01:25	1	75995	8	8	2	2	13	n/a	n/a	n/a	n/a	n/a	n/a	6,2	1
70.0	n/a	1.471	05:01:30	1	81328	9	9	2	13	10	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
76.0	n/a	1.665	05:01:36	1	92944	10	10	6	4	8	12	6	16	1	n/a	n/a	8,2	1
87.0	n/a	2.689	05:01:47	1	105093	11	11	6	16	5	1	10	4	6	n/a	n/a	10,3	1
99.0	n/a	1.368	05:01:59	1	110309	12	12	2	1	8	n/a	n/a	n/a	n/a	n/a	n/a	1,1	1
