onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.368	04:40:16	1	11131	1	1	2	3	10	n/a	n/a	n/a	n/a	n/a	n/a	3,1	1
5.0	n/a	1.235	04:40:21	1	16214	2	2	2	16	8	n/a	n/a	n/a	n/a	n/a	n/a	16,1	1
10.0	n/a	1.297	04:40:26	1	21353	3	3	2	16	6	n/a	n/a	n/a	n/a	n/a	n/a	6,2	1
15.0	n/a	3.217	04:40:31	1	34038	4	4	6	12	7	16	14	1	2	n/a	n/a	12,1	0
28.0	n/a	1.578	04:40:44	1	39987	5	5	2	12	14	n/a	n/a	n/a	n/a	n/a	n/a	12,1	1
34.0	n/a	1.362	04:40:50	1	45570	6	6	2	10	12	n/a	n/a	n/a	n/a	n/a	n/a	12,2	1
39.0	n/a	2.337	04:40:55	1	57371	7	7	6	12	5	10	15	16	2	n/a	n/a	10,3	1
51.0	n/a	1.677	04:41:07	1	68518	8	8	6	5	9	7	8	6	1	n/a	n/a	13,5	1
62.0	n/a	1.535	04:41:18	1	79518	9	9	6	7	15	11	10	16	9	n/a	n/a	1,3	1
73.0	n/a	1.539	04:41:29	1	84897	10	10	2	10	5	n/a	n/a	n/a	n/a	n/a	n/a	5,2	1
79.0	n/a	1.502	04:41:35	1	95863	11	11	6	6	9	13	5	4	7	n/a	n/a	7,2	1
90.0	n/a	5.266	04:41:46	1	110610	12	12	6	1	8	3	13	2	5	n/a	n/a	2,3	0
