onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
0.017	10.014	Instruction	-1	Picture	Instruction	n/a	n/a	n/a	28.643
10.047	5.007	ITI	0	Picture	Fixation+	1	14.746	n/a	38.673
15.07	2.006	Cue	0	Picture	Maintain	1	12.724	n/a	43.697
17.076	4.99	Pic	0	Picture	IAPS_26	1	7.733	n/a	45.703
22.067	2.006	Blank	0	Picture	BLANK	1	5.727	n/a	50.693
29.8	n/a	ConfirmRating	0	Response	n/a	1	n/a	6	58.426
29.825	6.002	ITI	1	Picture	Fixation+	2	15.204	n/a	58.452
35.844	2.006	Cue	1	Picture	Enhance	2	13.182	n/a	64.47
37.85	4.99	Pic	1	Picture	IAPS_36	2	8.192	n/a	66.476
42.84	2.006	Blank	1	Picture	BLANK	2	6.185	n/a	71.466
51.031	n/a	ConfirmRating	1	Response	n/a	2	n/a	5	79.658
51.063	4.012	ITI	2	Picture	Fixation+	3	12.892	n/a	79.689
55.092	2.006	Cue	2	Picture	Suppress	3	10.87	n/a	83.718
57.098	4.99	Pic	2	Picture	IAPS_01	3	5.879	n/a	85.724
62.088	2.006	Blank	2	Picture	BLANK	3	3.873	n/a	90.714
67.967	n/a	ConfirmRating	2	Response	n/a	3	n/a	2	96.594
67.99	5.007	ITI	3	Picture	Fixation+	4	12.815	n/a	96.616
73.013	2.006	Cue	3	Picture	Maintain	4	10.793	n/a	101.64
75.019	4.99	Pic	3	Picture	IAPS_46	4	5.802	n/a	103.646
80.01	2.006	Blank	3	Picture	BLANK	4	3.796	n/a	108.636
85.812	n/a	ConfirmRating	3	Response	n/a	4	n/a	6	114.438
85.829	5.007	ITI	4	Picture	Fixation+	4	14.978	n/a	114.455
90.852	2.006	Cue	4	Picture	Maintain	4	12.956	n/a	119.479
92.858	4.99	Pic	4	Picture	IAPS_49	4	7.965	n/a	121.485
97.849	2.006	Blank	4	Picture	BLANK	4	5.959	n/a	126.475
105.814	n/a	ConfirmRating	4	Response	n/a	4	n/a	6	134.44
105.84	6.002	ITI	5	Picture	Fixation+	2	14.93	n/a	134.466
111.858	2.006	Cue	5	Picture	Enhance	2	12.908	n/a	140.484
113.864	4.99	Pic	5	Picture	IAPS_37	2	7.918	n/a	142.49
118.854	2.006	Blank	5	Picture	BLANK	2	5.912	n/a	147.48
126.772	n/a	ConfirmRating	5	Response	n/a	2	n/a	6	155.398
126.795	4.012	ITI	6	Picture	Fixation+	1	15.32	n/a	155.422
130.824	2.006	Cue	6	Picture	Maintain	1	13.297	n/a	159.45
132.83	4.99	Pic	6	Picture	IAPS_27	1	8.307	n/a	161.456
137.82	2.006	Blank	6	Picture	BLANK	1	6.301	n/a	166.447
146.127	n/a	ConfirmRating	6	Response	n/a	1	n/a	6	174.754
146.159	6.002	ITI	7	Picture	Fixation+	3	13.796	n/a	174.786
152.178	2.006	Cue	7	Picture	Suppress	3	11.774	n/a	180.804
154.184	4.99	Pic	7	Picture	IAPS_02	3	6.783	n/a	182.81
159.174	2.006	Blank	7	Picture	BLANK	3	4.777	n/a	187.8
165.957	n/a	ConfirmRating	7	Response	n/a	3	n/a	0	194.584
165.988	5.007	ITI	8	Picture	Fixation+	4	9.94	n/a	194.614
171.011	2.006	Cue	8	Picture	Maintain	4	7.918	n/a	199.637
173.017	4.99	Pic	8	Picture	IAPS_52	4	2.928	n/a	201.644
178.007	2.006	Blank	8	Picture	BLANK	4	0.922	n/a	206.634
180.935	n/a	ConfirmRating	8	Response	n/a	4	n/a	0	209.561
180.959	6.002	ITI	9	Picture	Fixation+	1	11.528	n/a	209.585
186.977	2.006	Cue	9	Picture	Maintain	1	9.505	n/a	215.603
188.983	4.99	Pic	9	Picture	IAPS_28	1	4.515	n/a	217.609
193.973	2.006	Blank	9	Picture	BLANK	1	2.509	n/a	222.599
198.488	n/a	ConfirmRating	9	Response	n/a	1	n/a	6	227.114
198.516	5.007	ITI	10	Picture	Fixation+	2	11.221	n/a	227.142
203.539	2.006	Cue	10	Picture	Enhance	2	9.199	n/a	232.165
205.545	4.99	Pic	10	Picture	IAPS_38	2	4.209	n/a	234.171
210.535	2.006	Blank	10	Picture	BLANK	2	2.203	n/a	239.162
214.744	n/a	ConfirmRating	10	Response	n/a	2	n/a	0	243.37
214.763	4.012	ITI	11	Picture	Fixation+	3	12.973	n/a	243.389
218.791	2.006	Cue	11	Picture	Suppress	3	10.95	n/a	247.418
220.798	4.99	Pic	11	Picture	IAPS_03	3	5.96	n/a	249.424
