onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.414	04:29:45	1	16517	1	1	6	10	9	13	2	14	11	n/a	n/a	13,3	1
11.0	n/a	1.575	04:29:56	1	27565	2	2	6	2	4	7	10	1	5	n/a	n/a	16,3	1
22.0	n/a	1.539	04:30:07	1	32945	3	3	2	11	6	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
27.0	n/a	1.688	04:30:12	1	38472	4	4	2	2	8	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
33.0	n/a	1.668	04:30:18	1	49598	5	5	6	1	5	4	13	12	8	n/a	n/a	12,5	1
44.0	n/a	1.837	04:30:29	1	55286	6	6	2	7	16	n/a	n/a	n/a	n/a	n/a	n/a	15,1	1
50.0	n/a	1.596	04:30:35	1	66364	7	7	6	2	14	5	4	10	11	n/a	n/a	11,6	1
61.0	n/a	1.553	04:30:46	1	77381	8	8	6	3	13	11	4	15	2	n/a	n/a	1,6	1
72.0	n/a	1.824	04:30:57	1	83048	9	9	2	5	12	n/a	n/a	n/a	n/a	n/a	n/a	12,1	1
78.0	n/a	1.496	04:31:03	1	88394	10	10	2	2	3	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
83.0	n/a	3.347	04:31:08	1	101199	11	11	6	10	3	4	6	5	12	n/a	n/a	3,2	0
96.0	n/a	1.521	04:31:21	1	106565	12	12	2	14	16	n/a	n/a	n/a	n/a	n/a	n/a	12,2	1
