onset	duration	response_time
16.1	n/a	0.272
21.7	n/a	0.260
25.4	n/a	0.394
29.4	n/a	0.223
38.9	n/a	0.232
45.7	n/a	0.220
53.3	n/a	0.237
59.4	n/a	0.251
66.1	n/a	0.202
69.4	n/a	0.347
71.8	n/a	0.376
75.3	n/a	0.217
81.0	n/a	0.201
84.7	n/a	0.364
88.9	n/a	0.244
99.1	n/a	0.251
106.7	n/a	0.265
109.9	n/a	0.408
117.4	n/a	0.206
127.4	n/a	0.228
135.4	n/a	0.271
141.7	n/a	0.297
150.5	n/a	0.295
155.4	n/a	0.268
159.5	n/a	0.332
163.7	n/a	0.246
169.9	n/a	0.288
176.5	n/a	0.232
180.0	n/a	0.465
185.7	n/a	0.266
193.8	n/a	0.226
198.9	n/a	0.223
206.1	n/a	0.213
211.7	n/a	0.257
220.8	n/a	0.273
229.1	n/a	0.283
232.1	n/a	0.374
241.0	n/a	0.269
246.5	n/a	0.265
256.3	n/a	0.269
260.3	n/a	0.265
266.7	n/a	0.285
270.2	n/a	0.268
276.0	n/a	0.242
285.7	n/a	0.240
292.6	n/a	0.312
296.4	n/a	0.350
