onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
0.017	10.014	Instruction	-1	Picture	Instruction	n/a	n/a	n/a	26.902
10.047	5.007	ITI	0	Picture	Fixation+	1	13.227	n/a	36.932
15.071	2.006	Cue	0	Picture	Maintain	1	11.204	n/a	41.956
17.077	4.99	Pic	0	Picture	IAPS_26	1	6.214	n/a	43.962
22.067	2.006	Blank	0	Picture	BLANK	1	4.208	n/a	48.952
28.281	n/a	ConfirmRating	0	Response	n/a	1	n/a	1	55.166
28.301	6.002	ITI	1	Picture	Fixation+	2	11.763	n/a	55.186
34.319	2.006	Cue	1	Picture	Enhance	2	9.741	n/a	61.204
36.325	4.99	Pic	1	Picture	IAPS_36	2	4.75	n/a	63.21
41.315	2.006	Blank	1	Picture	BLANK	2	2.744	n/a	68.2
46.065	n/a	ConfirmRating	1	Response	n/a	2	n/a	1	72.951
46.09	4.012	ITI	2	Picture	Fixation+	3	17.971	n/a	72.975
50.118	2.006	Cue	2	Picture	Suppress	3	15.949	n/a	77.004
52.125	4.99	Pic	2	Picture	IAPS_01	3	10.958	n/a	79.01
57.115	2.006	Blank	2	Picture	BLANK	3	8.952	n/a	84.0
68.073	n/a	ConfirmRating	2	Response	n/a	3	n/a	7	94.958
68.09	5.007	ITI	3	Picture	Fixation+	4	11.96	n/a	94.975
73.113	2.006	Cue	3	Picture	Maintain	4	9.938	n/a	99.998
75.119	4.99	Pic	3	Picture	IAPS_46	4	4.948	n/a	102.004
80.11	2.006	Blank	3	Picture	BLANK	4	2.941	n/a	106.995
85.057	n/a	ConfirmRating	3	Response	n/a	4	n/a	0	111.942
85.083	5.007	ITI	4	Picture	Fixation+	4	9.805	n/a	111.968
90.107	2.006	Cue	4	Picture	Maintain	4	7.782	n/a	116.992
92.113	4.99	Pic	4	Picture	IAPS_49	4	2.792	n/a	118.998
97.103	2.006	Blank	4	Picture	BLANK	4	0.786	n/a	123.988
99.895	n/a	ConfirmRating	4	Response	n/a	4	n/a	0	126.78
99.921	6.002	ITI	5	Picture	Fixation+	2	11.153	n/a	126.806
105.94	2.006	Cue	5	Picture	Enhance	2	9.13	n/a	132.825
107.946	4.99	Pic	5	Picture	IAPS_37	2	4.14	n/a	134.831
112.936	2.006	Blank	5	Picture	BLANK	2	2.134	n/a	139.821
117.076	n/a	ConfirmRating	5	Response	n/a	2	n/a	1	143.961
117.097	4.012	ITI	6	Picture	Fixation+	1	10.521	n/a	143.982
121.126	2.006	Cue	6	Picture	Maintain	1	8.499	n/a	148.011
123.132	4.99	Pic	6	Picture	IAPS_27	1	3.509	n/a	150.017
128.122	2.006	Blank	6	Picture	BLANK	1	1.502	n/a	155.007
131.631	n/a	ConfirmRating	6	Response	n/a	1	n/a	1	158.516
131.653	6.002	ITI	7	Picture	Fixation+	3	10.406	n/a	158.538
137.672	2.006	Cue	7	Picture	Suppress	3	8.384	n/a	164.557
139.678	4.99	Pic	7	Picture	IAPS_02	3	3.394	n/a	166.563
144.668	2.006	Blank	7	Picture	BLANK	3	1.388	n/a	171.553
148.061	n/a	ConfirmRating	7	Response	n/a	3	n/a	0	174.946
148.083	5.007	ITI	8	Picture	Fixation+	4	10.813	n/a	174.968
153.106	2.006	Cue	8	Picture	Maintain	4	8.791	n/a	179.992
155.113	4.99	Pic	8	Picture	IAPS_52	4	3.8	n/a	181.998
160.103	2.006	Blank	8	Picture	BLANK	4	1.794	n/a	186.988
163.903	n/a	ConfirmRating	8	Response	n/a	4	n/a	7	190.788
163.932	6.002	ITI	9	Picture	Fixation+	1	10.955	n/a	190.817
169.951	2.006	Cue	9	Picture	Maintain	1	8.933	n/a	196.836
171.957	4.99	Pic	9	Picture	IAPS_28	1	3.942	n/a	198.842
176.947	2.006	Blank	9	Picture	BLANK	1	1.936	n/a	203.832
180.889	n/a	ConfirmRating	9	Response	n/a	1	n/a	1	207.774
180.909	5.007	ITI	10	Picture	Fixation+	2	11.03	n/a	207.794
185.933	2.006	Cue	10	Picture	Enhance	2	9.007	n/a	212.818
187.939	4.99	Pic	10	Picture	IAPS_38	2	4.017	n/a	214.824
192.929	2.006	Blank	10	Picture	BLANK	2	2.011	n/a	219.814
196.946	n/a	ConfirmRating	10	Response	n/a	2	n/a	1	223.831
196.974	4.012	ITI	11	Picture	Fixation+	3	9.424	n/a	223.859
201.003	2.006	Cue	11	Picture	Suppress	3	7.401	n/a	227.888
203.009	4.99	Pic	11	Picture	IAPS_03	3	2.411	n/a	229.894
207.999	2.006	Blank	11	Picture	BLANK	3	0.405	n/a	234.884
210.41	n/a	ConfirmRating	11	Response	n/a	3	n/a	0	237.295
210.436	6.002	ITI	12	Picture	Fixation+	2	11.81	n/a	237.321
216.454	2.006	Cue	12	Picture	Enhance	2	9.787	n/a	243.339
218.46	4.99	Pic	12	Picture	IAPS_39	2	4.797	n/a	245.345
223.451	2.006	Blank	12	Picture	BLANK	2	2.791	n/a	250.336
228.248	n/a	ConfirmRating	12	Response	n/a	2	n/a	1	255.133
228.275	5.007	ITI	13	Picture	Fixation+	1	10.588	n/a	255.16
233.298	2.006	Cue	13	Picture	Maintain	1	8.565	n/a	260.183
235.304	4.99	Pic	13	Picture	IAPS_29	1	3.575	n/a	262.19
240.295	2.006	Blank	13	Picture	BLANK	1	1.569	n/a	267.18
243.869	n/a	ConfirmRating	13	Response	n/a	1	n/a	1	270.755
243.892	4.012	ITI	14	Picture	Fixation+	4	11.054	n/a	270.777
247.921	2.006	Cue	14	Picture	Maintain	4	9.031	n/a	274.806
249.927	4.99	Pic	14	Picture	IAPS_55	4	4.041	n/a	276.812
254.917	2.006	Blank	14	Picture	BLANK	4	2.035	n/a	281.802
258.958	n/a	ConfirmRating	14	Response	n/a	4	n/a	0	285.843
258.979	5.007	ITI	15	Picture	Fixation+	3	10.558	n/a	285.864
264.002	2.006	Cue	15	Picture	Suppress	3	8.536	n/a	290.888
266.008	4.99	Pic	15	Picture	IAPS_04	3	3.545	n/a	292.894
270.999	2.006	Blank	15	Picture	BLANK	3	1.539	n/a	297.884
274.544	n/a	ConfirmRating	15	Response	n/a	3	n/a	7	301.429
274.563	6.002	ITI	16	Picture	Fixation+	2	13.766	n/a	301.448
280.581	2.006	Cue	16	Picture	Enhance	2	11.744	n/a	307.466
282.587	4.99	Pic	16	Picture	IAPS_40	2	6.753	n/a	309.473
287.578	2.006	Blank	16	Picture	BLANK	2	4.747	n/a	314.463
294.331	n/a	ConfirmRating	16	Response	n/a	2	n/a	7	321.216
294.358	6.002	ITI	17	Picture	Fixation+	1	10.805	n/a	321.243
300.377	2.006	Cue	17	Picture	Maintain	1	8.782	n/a	327.262
302.383	4.99	Pic	17	Picture	IAPS_30	1	3.792	n/a	329.268
307.373	2.006	Blank	17	Picture	BLANK	1	1.786	n/a	334.258
311.165	n/a	ConfirmRating	17	Response	n/a	1	n/a	1	338.05
311.186	4.012	ITI	18	Picture	Fixation+	3	10.688	n/a	338.071
315.215	2.006	Cue	18	Picture	Suppress	3	8.666	n/a	342.1
317.221	4.99	Pic	18	Picture	IAPS_05	3	3.676	n/a	344.106
322.211	2.006	Blank	18	Picture	BLANK	3	1.669	n/a	349.096
325.886	n/a	ConfirmRating	18	Response	n/a	3	n/a	7	352.772
325.908	5.007	ITI	19	Picture	Fixation+	4	9.457	n/a	352.793
330.931	2.006	Cue	19	Picture	Maintain	4	7.434	n/a	357.817
332.938	4.99	Pic	19	Picture	IAPS_58	4	2.444	n/a	359.823
337.928	2.006	Blank	19	Picture	BLANK	4	0.438	n/a	364.813
340.371	n/a	ConfirmRating	19	Response	n/a	4	n/a	0	367.257
340.398	6.002	ITI	20	Picture	Fixation+	4	11.598	n/a	367.283
346.416	2.006	Cue	20	Picture	Maintain	4	9.575	n/a	373.301
348.422	4.99	Pic	20	Picture	IAPS_47	4	4.585	n/a	375.307
353.412	2.006	Blank	20	Picture	BLANK	4	2.579	n/a	380.298
357.997	n/a	ConfirmRating	20	Response	n/a	4	n/a	7	384.882
358.021	5.007	ITI	21	Picture	Fixation+	3	10.605	n/a	384.906
363.045	2.006	Cue	21	Picture	Suppress	3	8.582	n/a	389.93
365.051	4.99	Pic	21	Picture	IAPS_06	3	3.592	n/a	391.936
370.041	2.006	Blank	21	Picture	BLANK	3	1.586	n/a	396.926
373.633	n/a	ConfirmRating	21	Response	n/a	3	n/a	7	400.518
373.655	4.012	ITI	22	Picture	Fixation+	1	9.528	n/a	400.54
377.684	2.006	Cue	22	Picture	Maintain	1	7.505	n/a	404.569
379.69	4.99	Pic	22	Picture	IAPS_16	1	2.515	n/a	406.575
384.68	2.006	Blank	22	Picture	BLANK	1	0.509	n/a	411.565
387.195	n/a	ConfirmRating	22	Response	n/a	1	n/a	0	414.08
387.217	4.012	ITI	23	Picture	Fixation+	2	11.465	n/a	414.102
391.245	2.006	Cue	23	Picture	Enhance	2	9.442	n/a	418.13
393.251	4.99	Pic	23	Picture	IAPS_41	2	4.452	n/a	420.137
398.242	2.006	Blank	23	Picture	BLANK	2	2.446	n/a	425.127
402.694	n/a	ConfirmRating	23	Response	n/a	2	n/a	1	429.579
402.718	5.007	ITI	24	Picture	Fixation+	1	10.917	n/a	429.603
407.741	2.006	Cue	24	Picture	Maintain	1	8.894	n/a	434.626
409.747	4.99	Pic	24	Picture	IAPS_17	1	3.904	n/a	436.632
414.738	2.006	Blank	24	Picture	BLANK	1	1.898	n/a	441.623
418.642	n/a	ConfirmRating	24	Response	n/a	1	n/a	7	445.527
418.667	4.012	ITI	25	Picture	Fixation+	2	10.665	n/a	445.552
422.695	2.006	Cue	25	Picture	Enhance	2	8.642	n/a	449.581
424.701	4.99	Pic	25	Picture	IAPS_42	2	3.652	n/a	451.587
429.692	2.006	Blank	25	Picture	BLANK	2	1.646	n/a	456.577
433.343	n/a	ConfirmRating	25	Response	n/a	2	n/a	1	460.228
433.372	6.002	ITI	26	Picture	Fixation+	4	9.494	n/a	460.257
439.39	2.006	Cue	26	Picture	Maintain	4	7.472	n/a	466.276
441.397	4.99	Pic	26	Picture	IAPS_50	4	2.481	n/a	468.282
446.387	2.006	Blank	26	Picture	BLANK	4	0.476	n/a	473.272
448.868	n/a	ConfirmRating	26	Response	n/a	4	n/a	0	475.753
448.89	5.007	ITI	27	Picture	Fixation+	3	10.629	n/a	475.775
453.913	2.006	Cue	27	Picture	Suppress	3	8.606	n/a	480.799
455.92	4.99	Pic	27	Picture	IAPS_07	3	3.616	n/a	482.805
460.91	2.006	Blank	27	Picture	BLANK	3	1.61	n/a	487.795
464.526	n/a	ConfirmRating	27	Response	n/a	3	n/a	7	491.411
464.557	5.007	ITI	28	Picture	Fixation+	2	9.835	n/a	491.442
469.581	2.006	Cue	28	Picture	Enhance	2	7.812	n/a	496.466
471.587	4.99	Pic	28	Picture	IAPS_43	2	2.822	n/a	498.472
476.577	2.006	Blank	28	Picture	BLANK	2	0.816	n/a	503.462
479.399	n/a	ConfirmRating	28	Response	n/a	2	n/a	0	506.284
479.428	4.012	ITI	29	Picture	Fixation+	3	10.881	n/a	506.313
483.457	2.006	Cue	29	Picture	Suppress	3	8.859	n/a	510.342
485.463	4.99	Pic	29	Picture	IAPS_08	3	3.868	n/a	512.348
490.453	2.006	Blank	29	Picture	BLANK	3	1.862	n/a	517.338
494.322	n/a	ConfirmRating	29	Response	n/a	3	n/a	7	521.207
494.349	15.004	Rest	29	Picture	Rest	n/a	-15.032	n/a	521.235
509.37	5.007	ITI	30	Picture	Fixation+	4	9.497	n/a	536.255
514.393	2.006	Cue	30	Picture	Maintain	4	7.474	n/a	541.278
516.399	4.99	Pic	30	Picture	IAPS_53	4	2.484	n/a	543.284
521.389	2.006	Blank	30	Picture	BLANK	4	0.478	n/a	548.275
523.874	n/a	ConfirmRating	30	Response	n/a	4	n/a	0	550.759
523.893	6.002	ITI	31	Picture	Fixation+	1	10.23	n/a	550.778
529.911	2.006	Cue	31	Picture	Maintain	1	8.207	n/a	556.796
531.917	4.99	Pic	31	Picture	IAPS_18	1	3.217	n/a	558.802
536.907	2.006	Blank	31	Picture	BLANK	1	1.211	n/a	563.793
540.124	n/a	ConfirmRating	31	Response	n/a	1	n/a	0	567.009
540.157	4.012	ITI	32	Picture	Fixation+	3	14.64	n/a	567.042
544.186	2.006	Cue	32	Picture	Suppress	3	12.618	n/a	571.071
546.192	4.99	Pic	32	Picture	IAPS_09	3	7.627	n/a	573.077
551.182	2.006	Blank	32	Picture	BLANK	3	5.621	n/a	578.067
558.809	n/a	ConfirmRating	32	Response	n/a	3	n/a	7	585.694
558.841	5.007	ITI	33	Picture	Fixation+	1	11.406	n/a	585.726
563.865	2.006	Cue	33	Picture	Maintain	1	9.383	n/a	590.75
565.871	4.99	Pic	33	Picture	IAPS_19	1	4.393	n/a	592.756
570.861	2.006	Blank	33	Picture	BLANK	1	2.387	n/a	597.746
575.254	n/a	ConfirmRating	33	Response	n/a	1	n/a	1	602.139
575.271	4.012	ITI	34	Picture	Fixation+	2	10.704	n/a	602.156
579.3	2.006	Cue	34	Picture	Enhance	2	8.681	n/a	606.185
581.306	4.99	Pic	34	Picture	IAPS_44	2	3.691	n/a	608.191
