onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.818	06:04:59	1	16900	1	1	6	2	5	1	4	8	13	n/a	n/a	4,4	1
12.0	n/a	1.243	06:05:11	1	27611	2	2	6	4	8	2	1	3	10	n/a	n/a	6,1	1
22.0	n/a	1.136	06:05:21	1	32584	3	3	2	15	11	n/a	n/a	n/a	n/a	n/a	n/a	15,1	1
27.0	n/a	1.998	06:05:26	1	44029	4	4	6	6	4	2	3	12	5	n/a	n/a	2,3	0
39.0	n/a	1.014	06:05:38	1	48869	5	5	2	3	4	n/a	n/a	n/a	n/a	n/a	n/a	7,2	1
44.0	n/a	1.172	06:05:43	1	53866	6	6	2	14	10	n/a	n/a	n/a	n/a	n/a	n/a	12,1	1
49.0	n/a	0.859	06:05:48	1	58549	7	7	2	9	14	n/a	n/a	n/a	n/a	n/a	n/a	14,2	1
53.0	n/a	1.086	06:05:52	1	69079	8	8	6	3	6	9	11	7	15	n/a	n/a	11,4	1
64.0	n/a	1.378	06:06:03	1	79905	9	9	6	2	7	1	11	10	4	n/a	n/a	10,4	0
75.0	n/a	1.058	06:06:14	1	84787	10	10	2	4	2	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
80.0	n/a	1.348	06:06:19	1	95587	11	11	6	5	8	15	16	6	3	n/a	n/a	10,5	1
90.0	n/a	0.943	06:06:29	1	100378	12	12	2	5	4	n/a	n/a	n/a	n/a	n/a	n/a	4,2	1
