onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.53	07:17:10	1	11002	1	1	2	13	2	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
6.0	n/a	1.498	07:17:16	1	16347	2	2	2	8	3	n/a	n/a	n/a	n/a	n/a	n/a	3,2	1
11.0	n/a	1.899	07:17:21	1	27712	3	3	6	10	13	16	7	9	15	n/a	n/a	8,4	1
22.0	n/a	1.901	07:17:32	1	39076	4	4	6	6	14	7	8	1	11	n/a	n/a	11,6	0
34.0	n/a	2.505	07:17:44	1	45430	5	5	2	5	9	n/a	n/a	n/a	n/a	n/a	n/a	12,2	1
40.0	n/a	2.074	07:17:50	1	51354	6	6	2	11	5	n/a	n/a	n/a	n/a	n/a	n/a	6,1	1
46.0	n/a	1.504	07:17:56	1	56701	7	7	2	8	3	n/a	n/a	n/a	n/a	n/a	n/a	10,2	1
51.0	n/a	1.908	07:18:01	1	68070	8	8	6	9	3	13	14	10	12	n/a	n/a	3,2	1
63.0	n/a	1.966	07:18:13	1	79495	9	9	6	9	3	5	16	12	11	n/a	n/a	5,3	1
74.0	n/a	1.681	07:18:24	1	85038	10	10	2	1	11	n/a	n/a	n/a	n/a	n/a	n/a	16,1	1
80.0	n/a	2.329	07:18:30	1	96845	11	11	6	3	2	15	9	14	13	n/a	n/a	13,6	0
92.0	n/a	2.498	07:18:42	1	108810	12	12	6	8	2	14	12	3	6	n/a	n/a	8,1	0
0.0	n/a	1.689	05:44:12	1	16790	1	1	6	10	2	11	6	12	3	n/a	n/a	16,3	1
11.0	n/a	1.359	05:44:23	1	21992	2	2	2	15	1	n/a	n/a	n/a	n/a	n/a	n/a	6,2	1
17.0	n/a	1.57	05:44:29	1	33037	3	3	6	5	15	16	10	11	8	n/a	n/a	11,5	1
28.0	n/a	1.662	05:44:40	1	44180	4	4	6	13	14	12	8	9	6	n/a	n/a	14,2	0
39.0	n/a	1.481	05:44:51	1	55131	5	5	6	15	3	4	9	8	6	n/a	n/a	9,4	1
50.0	n/a	1.334	05:45:02	1	60309	6	6	2	5	15	n/a	n/a	n/a	n/a	n/a	n/a	5,1	1
55.0	n/a	1.962	05:45:07	1	66124	7	7	2	16	5	n/a	n/a	n/a	n/a	n/a	n/a	16,1	1
61.0	n/a	1.272	05:45:13	1	71234	8	8	2	14	12	n/a	n/a	n/a	n/a	n/a	n/a	14,1	1
66.0	n/a	1.491	05:45:18	1	82186	9	9	6	11	8	1	16	2	3	n/a	n/a	3,6	1
77.0	n/a	1.515	05:45:29	1	87544	10	10	2	4	9	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
82.0	n/a	1.729	05:45:34	1	98731	11	11	6	11	2	3	1	8	16	n/a	n/a	11,1	0
93.0	n/a	1.411	05:45:45	1	103984	12	12	2	7	13	n/a	n/a	n/a	n/a	n/a	n/a	9,2	0
