onset	duration	response_time
10.1	n/a	0.261
15.1	n/a	0.239
24.7	n/a	0.244
33.9	n/a	0.266
37.7	n/a	0.381
46.5	n/a	0.260
56.6	n/a	0.255
65.0	n/a	0.395
68.6	n/a	0.329
71.7	n/a	0.298
77.9	n/a	0.242
84.9	n/a	0.241
91.8	n/a	0.261
98.6	n/a	0.253
106.9	n/a	0.275
112.3	n/a	0.254
121.6	n/a	0.301
130.5	n/a	0.292
135.4	n/a	0.538
140.8	n/a	0.255
148.7	n/a	0.297
156.8	n/a	0.243
166.6	n/a	0.253
169.4	n/a	0.384
179.5	n/a	0.294
185.1	n/a	0.366
193.2	n/a	0.343
196.6	n/a	0.342
206.0	n/a	0.286
209.9	n/a	0.370
219.7	n/a	0.326
226.7	n/a	0.384
235.9	n/a	0.347
243.8	n/a	0.299
247.2	n/a	0.335
254.9	n/a	0.316
261.6	n/a	0.286
270.3	n/a	0.309
273.5	n/a	0.373
282.7	n/a	0.258
292.0	n/a	0.286
