onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.732	04:49:21	1	16803	1	1	6	1	5	6	7	15	12	n/a	n/a	6,3	1
11.0	n/a	1.249	04:49:32	1	21895	2	2	2	12	4	n/a	n/a	n/a	n/a	n/a	n/a	3,1	1
16.0	n/a	3.613	04:49:37	1	34982	3	3	6	15	1	14	8	13	3	n/a	n/a	1,2	0
29.0	n/a	1.07	04:49:50	1	39903	4	4	2	3	2	n/a	n/a	n/a	n/a	n/a	n/a	3,1	1
34.0	n/a	0.959	04:49:55	1	44722	5	5	2	11	7	n/a	n/a	n/a	n/a	n/a	n/a	7,2	1
39.0	n/a	1.564	04:50:00	1	55756	6	6	6	5	6	7	14	8	16	n/a	n/a	12,1	1
50.0	n/a	1.321	04:50:11	1	66543	7	7	6	6	9	11	8	2	3	n/a	n/a	11,5	1
61.0	n/a	1.146	04:50:22	1	71537	8	8	2	8	11	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
65.0	n/a	1.284	04:50:26	1	82279	9	9	6	15	12	1	2	7	9	n/a	n/a	2,4	1
76.0	n/a	1.149	04:50:37	1	87271	10	10	2	16	7	n/a	n/a	n/a	n/a	n/a	n/a	4,2	1
81.0	n/a	2.173	04:50:42	1	98906	11	11	6	15	6	4	8	12	9	n/a	n/a	10,3	1
93.0	n/a	0.97	04:50:54	1	103716	12	12	2	5	14	n/a	n/a	n/a	n/a	n/a	n/a	5,1	1
