onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
0.015	10.014	Instruction	-1	Picture	Instruction	n/a	n/a	n/a	29.439
10.045	5.007	ITI	0	Picture	Fixation+	1	14.493	n/a	39.469
15.068	2.006	Cue	0	Picture	Maintain	1	12.47	n/a	44.492
17.074	4.99	Pic	0	Picture	IAPS_01	1	7.48	n/a	46.498
22.065	2.006	Blank	0	Picture	BLANK	1	5.474	n/a	51.488
29.545	n/a	ConfirmRating	0	Response	n/a	1	n/a	0	58.968
29.575	6.002	ITI	1	Picture	Fixation+	2	16.616	n/a	58.998
35.593	2.006	Cue	1	Picture	Enhance	2	14.593	n/a	65.016
37.599	4.99	Pic	1	Picture	IAPS_26	2	9.603	n/a	67.022
42.589	2.006	Blank	1	Picture	BLANK	2	7.597	n/a	72.013
52.192	n/a	ConfirmRating	1	Response	n/a	2	n/a	2	81.616
52.221	4.012	ITI	2	Picture	Fixation+	3	11.604	n/a	81.645
56.25	2.006	Cue	2	Picture	Suppress	3	9.582	n/a	85.674
58.256	4.99	Pic	2	Picture	IAPS_36	3	4.591	n/a	87.68
63.246	2.006	Blank	2	Picture	BLANK	3	2.585	n/a	92.67
67.838	n/a	ConfirmRating	2	Response	n/a	3	n/a	0	97.261
67.855	5.007	ITI	3	Picture	Fixation+	4	9.759	n/a	97.279
72.879	2.006	Cue	3	Picture	Maintain	4	7.736	n/a	102.302
74.885	4.99	Pic	3	Picture	IAPS_46	4	2.746	n/a	104.308
79.875	2.006	Blank	3	Picture	BLANK	4	0.74	n/a	109.298
82.621	n/a	ConfirmRating	3	Response	n/a	4	n/a	0	112.044
82.643	5.007	ITI	4	Picture	Fixation+	4	10.642	n/a	112.067
87.667	2.006	Cue	4	Picture	Maintain	4	8.62	n/a	117.09
89.673	4.99	Pic	4	Picture	IAPS_49	4	3.629	n/a	119.096
94.663	2.006	Blank	4	Picture	BLANK	4	1.623	n/a	124.087
98.292	n/a	ConfirmRating	4	Response	n/a	4	n/a	0	127.716
98.31	6.002	ITI	5	Picture	Fixation+	2	13.208	n/a	127.734
104.329	2.006	Cue	5	Picture	Enhance	2	11.185	n/a	133.752
106.335	4.99	Pic	5	Picture	IAPS_27	2	6.195	n/a	135.758
111.325	2.006	Blank	5	Picture	BLANK	2	4.189	n/a	140.748
117.52	n/a	ConfirmRating	5	Response	n/a	2	n/a	1	146.944
117.542	4.012	ITI	6	Picture	Fixation+	1	12.083	n/a	146.965
121.57	2.006	Cue	6	Picture	Maintain	1	10.06	n/a	150.994
123.576	4.99	Pic	6	Picture	IAPS_02	1	5.07	n/a	153.0
128.567	2.006	Blank	6	Picture	BLANK	1	3.064	n/a	157.99
133.637	n/a	ConfirmRating	6	Response	n/a	1	n/a	2	163.06
133.656	6.002	ITI	7	Picture	Fixation+	3	12.677	n/a	163.08
139.674	2.006	Cue	7	Picture	Suppress	3	10.654	n/a	169.098
141.68	4.99	Pic	7	Picture	IAPS_37	3	5.664	n/a	171.104
146.671	2.006	Blank	7	Picture	BLANK	3	3.658	n/a	176.094
152.334	n/a	ConfirmRating	7	Response	n/a	3	n/a	3	181.758
152.357	5.007	ITI	8	Picture	Fixation+	4	9.652	n/a	181.781
157.381	2.006	Cue	8	Picture	Maintain	4	7.63	n/a	186.804
159.387	4.99	Pic	8	Picture	IAPS_52	4	2.639	n/a	188.81
164.377	2.006	Blank	8	Picture	BLANK	4	0.633	n/a	193.8
167.016	n/a	ConfirmRating	8	Response	n/a	4	n/a	0	196.44
167.046	6.002	ITI	9	Picture	Fixation+	1	12.079	n/a	196.469
173.064	2.006	Cue	9	Picture	Maintain	1	10.057	n/a	202.488
175.07	4.99	Pic	9	Picture	IAPS_03	1	5.066	n/a	204.494
180.06	2.006	Blank	9	Picture	BLANK	1	3.06	n/a	209.484
185.127	n/a	ConfirmRating	9	Response	n/a	1	n/a	2	214.55
185.15	5.007	ITI	10	Picture	Fixation+	2	11.493	n/a	214.573
190.173	2.006	Cue	10	Picture	Enhance	2	9.47	n/a	219.597
192.179	4.99	Pic	10	Picture	IAPS_28	2	4.48	n/a	221.603
197.169	2.006	Blank	10	Picture	BLANK	2	2.474	n/a	226.593
201.649	n/a	ConfirmRating	10	Response	n/a	2	n/a	1	231.073
201.679	4.012	ITI	11	Picture	Fixation+	3	9.68	n/a	231.102
205.708	2.006	Cue	11	Picture	Suppress	3	7.658	n/a	235.131
207.714	4.99	Pic	11	Picture	IAPS_38	3	2.667	n/a	237.137
212.704	2.006	Blank	11	Picture	BLANK	3	0.661	n/a	242.127
215.371	n/a	ConfirmRating	11	Response	n/a	3	n/a	0	244.795
215.389	6.002	ITI	12	Picture	Fixation+	2	10.827	n/a	244.813
221.408	2.006	Cue	12	Picture	Enhance	2	8.804	n/a	250.831
223.414	4.99	Pic	12	Picture	IAPS_29	2	3.814	n/a	252.837
228.404	2.006	Blank	12	Picture	BLANK	2	1.808	n/a	257.827
232.218	n/a	ConfirmRating	12	Response	n/a	2	n/a	3	261.641
232.25	5.007	ITI	13	Picture	Fixation+	1	11.196	n/a	261.674
237.274	2.006	Cue	13	Picture	Maintain	1	9.173	n/a	266.697
239.279	4.99	Pic	13	Picture	IAPS_04	1	4.183	n/a	268.703
244.27	2.006	Blank	13	Picture	BLANK	1	2.177	n/a	273.693
248.453	n/a	ConfirmRating	13	Response	n/a	1	n/a	2	277.876
248.481	4.012	ITI	14	Picture	Fixation+	4	9.547	n/a	277.904
252.509	2.006	Cue	14	Picture	Maintain	4	7.525	n/a	281.933
254.515	4.99	Pic	14	Picture	IAPS_55	4	2.535	n/a	283.939
259.506	2.006	Blank	14	Picture	BLANK	4	0.529	n/a	288.929
262.04	n/a	ConfirmRating	14	Response	n/a	4	n/a	0	291.464
262.059	5.007	ITI	15	Picture	Fixation+	3	17.717	n/a	291.482
267.082	2.006	Cue	15	Picture	Suppress	3	15.695	n/a	296.505
269.088	4.99	Pic	15	Picture	IAPS_39	3	10.705	n/a	298.512
274.078	2.006	Blank	15	Picture	BLANK	3	8.699	n/a	303.502
284.783	n/a	ConfirmRating	15	Response	n/a	3	n/a	6	314.206
284.805	6.002	ITI	16	Picture	Fixation+	2	11.97	n/a	314.228
290.823	2.006	Cue	16	Picture	Enhance	2	9.948	n/a	320.246
292.829	4.99	Pic	16	Picture	IAPS_30	2	4.958	n/a	322.252
297.819	2.006	Blank	16	Picture	BLANK	2	2.952	n/a	327.243
302.777	n/a	ConfirmRating	16	Response	n/a	2	n/a	2	332.2
302.809	6.002	ITI	17	Picture	Fixation+	1	11.022	n/a	332.233
308.827	2.006	Cue	17	Picture	Maintain	1	8.999	n/a	338.251
310.833	4.99	Pic	17	Picture	IAPS_05	1	4.009	n/a	340.257
315.824	2.006	Blank	17	Picture	BLANK	1	2.003	n/a	345.247
319.832	n/a	ConfirmRating	17	Response	n/a	1	n/a	2	349.256
319.852	4.012	ITI	18	Picture	Fixation+	3	12.512	n/a	349.276
323.881	2.006	Cue	18	Picture	Suppress	3	10.489	n/a	353.304
325.887	4.99	Pic	18	Picture	IAPS_40	3	5.499	n/a	355.31
330.877	2.006	Blank	18	Picture	BLANK	3	3.493	n/a	360.301
336.376	n/a	ConfirmRating	18	Response	n/a	3	n/a	6	365.8
336.398	5.007	ITI	19	Picture	Fixation+	4	9.965	n/a	365.821
341.421	2.006	Cue	19	Picture	Maintain	4	7.943	n/a	370.845
343.427	4.99	Pic	19	Picture	IAPS_58	4	2.952	n/a	372.851
348.417	2.006	Blank	19	Picture	BLANK	4	0.946	n/a	377.841
351.37	n/a	ConfirmRating	19	Response	n/a	4	n/a	0	380.793
351.402	6.002	ITI	20	Picture	Fixation+	4	20.39	n/a	380.825
357.42	2.006	Cue	20	Picture	Maintain	4	18.368	n/a	386.843
359.426	4.99	Pic	20	Picture	IAPS_47	4	13.377	n/a	388.849
364.416	2.006	Blank	20	Picture	BLANK	4	11.371	n/a	393.839
377.793	n/a	ConfirmRating	20	Response	n/a	4	n/a	6	407.217
377.812	5.007	ITI	21	Picture	Fixation+	3	11.392	n/a	407.235
382.835	2.006	Cue	21	Picture	Suppress	3	9.369	n/a	412.258
