onset	duration	response_time
12.5	n/a	0.252
21.9	n/a	0.274
29.5	n/a	0.208
39.8	n/a	0.235
44.9	n/a	0.263
48.8	n/a	0.286
57.9	n/a	0.240
63.5	n/a	0.242
68.1	n/a	0.277
70.8	n/a	0.253
80.0	n/a	0.225
85.9	n/a	0.240
94.0	n/a	0.229
98.0	n/a	0.291
107.2	n/a	0.233
113.5	n/a	0.243
123.7	n/a	0.258
130.9	n/a	0.321
135.7	n/a	0.275
139.2	n/a	0.249
146.2	n/a	0.264
152.7	n/a	0.237
161.8	n/a	0.295
166.1	n/a	0.242
171.4	n/a	0.348
177.0	n/a	0.289
182.6	n/a	0.264
192.3	n/a	0.220
197.1	n/a	0.241
199.7	n/a	0.310
203.3	n/a	0.246
210.0	n/a	0.287
218.6	n/a	0.317
223.6	n/a	0.235
230.1	n/a	0.223
238.0	n/a	0.289
242.5	n/a	0.274
249.7	n/a	0.287
253.7	n/a	0.430
258.0	n/a	0.345
265.3	n/a	0.254
269.8	n/a	0.233
272.5	n/a	0.303
277.2	n/a	0.275
286.4	n/a	0.256
289.6	n/a	0.303
294.3	n/a	0.320
298.5	n/a	0.392
303.0	n/a	0.229
306.1	n/a	0.257
311.1	n/a	0.297
318.4	n/a	0.274
324.0	n/a	0.235
329.9	n/a	0.227
339.0	n/a	0.226
344.1	n/a	0.237
347.3	n/a	0.326
355.0	n/a	0.262
363.3	n/a	0.251
370.0	n/a	0.244
375.1	n/a	0.256
381.2	n/a	0.245
385.4	n/a	0.274
392.1	n/a	0.249
398.2	n/a	0.241
407.4	n/a	0.259
415.3	n/a	0.243
425.2	n/a	0.294
427.7	n/a	0.304
430.6	n/a	0.284
439.6	n/a	0.262
446.9	n/a	0.231
455.4	n/a	0.273
462.3	n/a	0.273
469.0	n/a	0.278
476.8	n/a	0.264
485.6	n/a	0.287
488.7	n/a	0.286
491.1	n/a	0.222
497.4	n/a	0.263
502.7	n/a	0.236
510.2	n/a	0.242
517.8	n/a	0.255
525.4	n/a	0.275
528.3	n/a	0.297
534.2	n/a	0.300
537.8	n/a	0.262
540.3	n/a	0.237
547.9	n/a	0.234
558.0	n/a	0.231
563.6	n/a	0.222
571.7	n/a	0.270
575.7	n/a	0.301
585.9	n/a	0.258
593.2	n/a	0.288
596.4	n/a	0.306
