onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.076	06:56:34	1	10541	1	1	2	5	14	n/a	n/a	n/a	n/a	n/a	n/a	6,1	1
5.0	n/a	1.179	06:56:39	1	15546	2	2	2	6	2	n/a	n/a	n/a	n/a	n/a	n/a	16,2	1
10.0	n/a	3.24	06:56:44	1	22615	3	3	2	2	1	n/a	n/a	n/a	n/a	n/a	n/a	15,1	1
17.0	n/a	1.083	06:56:51	1	27521	4	4	2	16	12	n/a	n/a	n/a	n/a	n/a	n/a	12,2	1
22.0	n/a	1.955	06:56:56	1	38932	5	5	6	10	11	5	6	15	1	n/a	n/a	6,1	1
33.0	n/a	1.164	06:57:07	1	43945	6	6	2	16	7	n/a	n/a	n/a	n/a	n/a	n/a	2,2	1
38.0	n/a	2.135	06:57:12	1	55528	7	7	6	15	7	10	5	14	13	n/a	n/a	14,5	0
50.0	n/a	1.036	06:57:24	1	60391	8	8	2	14	6	n/a	n/a	n/a	n/a	n/a	n/a	12,1	1
55.0	n/a	1.078	06:57:29	1	70914	9	9	6	1	15	11	10	4	9	n/a	n/a	9,1	1
65.0	n/a	2.61	06:57:39	1	82964	10	10	6	4	12	8	13	5	6	n/a	n/a	13,4	1
77.0	n/a	3.235	06:57:51	1	95642	11	11	6	7	11	15	12	2	14	n/a	n/a	11,2	1
90.0	n/a	2.024	06:58:04	1	107111	12	12	6	1	5	8	16	14	9	n/a	n/a	8,3	1
