onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.241	05:15:20	1	10708	1	1	2	3	9	n/a	n/a	n/a	n/a	n/a	n/a	3,1	1
5.0	n/a	2.045	05:15:25	1	22217	2	2	6	1	13	7	4	16	3	n/a	n/a	12,1	1
16.0	n/a	2.061	05:15:36	1	33758	3	3	6	14	12	4	11	6	16	n/a	n/a	3,4	0
28.0	n/a	1.342	05:15:48	1	38942	4	4	2	10	13	n/a	n/a	n/a	n/a	n/a	n/a	15,1	1
33.0	n/a	3.027	05:15:53	1	51442	5	5	6	9	4	7	12	14	3	n/a	n/a	4,2	0
45.0	n/a	1.21	05:16:05	1	56494	6	6	2	9	13	n/a	n/a	n/a	n/a	n/a	n/a	2,1	1
51.0	n/a	2.502	05:16:11	1	68472	7	7	6	2	14	6	11	5	13	n/a	n/a	14,2	1
63.0	n/a	1.499	05:16:23	1	73825	8	8	2	3	2	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
68.0	n/a	2.022	05:16:28	1	85314	9	9	6	5	2	7	16	13	15	n/a	n/a	12,1	1
79.0	n/a	2.997	05:16:39	1	97791	10	10	6	3	1	13	5	2	15	n/a	n/a	11,1	1
92.0	n/a	1.345	05:16:52	1	102977	11	11	2	4	5	n/a	n/a	n/a	n/a	n/a	n/a	5,2	1
97.0	n/a	1.47	05:16:57	1	108291	12	12	2	6	3	n/a	n/a	n/a	n/a	n/a	n/a	13,2	1
0.0	n/a	1.317	04:47:37	1	10798	1	1	2	4	7	n/a	n/a	n/a	n/a	n/a	n/a	6,2	1
5.0	n/a	1.535	04:47:42	1	16174	2	2	2	10	4	n/a	n/a	n/a	n/a	n/a	n/a	4,2	1
10.0	n/a	1.526	04:47:47	1	27172	3	3	6	16	14	4	1	8	6	n/a	n/a	9,6	1
21.0	n/a	1.327	04:47:58	1	37958	4	4	6	15	10	6	2	12	11	n/a	n/a	10,2	1
32.0	n/a	1.357	04:48:09	1	43154	5	5	2	8	14	n/a	n/a	n/a	n/a	n/a	n/a	10,1	1
37.0	n/a	1.32	04:48:14	1	48318	6	6	2	4	12	n/a	n/a	n/a	n/a	n/a	n/a	1,2	1
42.0	n/a	1.282	04:48:19	1	59086	7	7	6	5	15	9	10	7	3	n/a	n/a	3,1	1
53.0	n/a	2.219	04:48:30	1	70773	8	8	6	15	6	14	7	1	9	n/a	n/a	1,5	1
65.0	n/a	1.838	04:48:42	1	82081	9	9	6	5	13	10	12	2	7	n/a	n/a	13,2	1
76.0	n/a	2.132	04:48:53	1	93670	10	10	6	16	15	11	4	13	6	n/a	n/a	4,4	1
88.0	n/a	1.213	04:49:05	1	98723	11	11	2	15	10	n/a	n/a	n/a	n/a	n/a	n/a	1,2	1
93.0	n/a	1.407	04:49:10	1	103971	12	12	2	16	7	n/a	n/a	n/a	n/a	n/a	n/a	2,1	1
