onset	duration	response_time
12.0	n/a	0.263
16.3	n/a	0.226
21.4	n/a	0.290
30.8	n/a	0.270
35.7	n/a	0.300
45.9	n/a	0.273
54.4	n/a	0.252
64.6	n/a	0.218
71.2	n/a	0.294
74.4	n/a	0.300
77.3	n/a	0.248
80.3	n/a	0.001
82.1	n/a	0.469
91.4	n/a	0.221
94.0	n/a	0.302
103.0	n/a	0.238
107.8	n/a	0.304
115.1	n/a	0.269
120.7	n/a	0.237
130.8	n/a	0.312
140.0	n/a	0.353
144.0	n/a	0.312
148.0	n/a	0.256
154.4	n/a	0.201
164.6	n/a	0.240
170.0	n/a	0.252
176.7	n/a	0.248
186.2	n/a	0.276
196.4	n/a	0.238
200.0	n/a	0.381
209.5	n/a	0.259
217.2	n/a	0.267
222.8	n/a	0.285
230.9	n/a	0.287
240.6	n/a	0.344
248.7	n/a	0.245
251.4	n/a	0.356
258.5	n/a	0.207
264.7	n/a	0.250
268.4	n/a	0.256
278.3	n/a	0.410
284.7	n/a	0.278
293.8	n/a	0.330
