onset	duration	response_time
13.9	n/a	0.209
20.3	n/a	0.204
24.9	n/a	0.192
28.6	n/a	0.198
32.7	n/a	0.186
37.6	n/a	0.175
40.1	n/a	0.324
46.1	n/a	0.181
54.7	n/a	0.198
59.8	n/a	0.177
68.8	n/a	0.204
71.4	n/a	0.344
81.4	n/a	0.231
87.9	n/a	0.185
97.0	n/a	0.218
106.7	n/a	0.226
112.8	n/a	0.198
115.4	n/a	0.292
121.1	n/a	0.228
126.8	n/a	0.199
131.6	n/a	0.180
135.9	n/a	0.175
139.4	n/a	0.166
142.6	n/a	0.191
150.7	n/a	0.219
160.2	n/a	0.193
169.9	n/a	0.203
178.2	n/a	0.186
181.9	n/a	0.190
191.3	n/a	0.193
200.0	n/a	0.189
205.7	n/a	0.201
211.3	n/a	0.193
216.5	n/a	0.182
220.3	n/a	0.188
225.8	n/a	0.179
231.4	n/a	0.225
239.9	n/a	0.190
247.6	n/a	0.190
251.8	n/a	0.237
257.3	n/a	0.198
265.9	n/a	0.191
269.3	n/a	0.252
277.3	n/a	0.233
286.8	n/a	0.219
291.7	n/a	0.242
