onset	duration	response_time
13.9	n/a	0.237
23.4	n/a	0.247
27.9	n/a	0.278
34.0	n/a	0.207
40.3	n/a	0.250
46.7	n/a	0.225
54.0	n/a	0.236
58.3	n/a	0.277
63.4	n/a	0.235
72.8	n/a	0.240
82.4	n/a	0.249
85.6	n/a	0.299
88.3	n/a	0.289
92.8	n/a	0.255
101.5	n/a	0.274
111.3	n/a	0.280
116.8	n/a	0.269
120.2	n/a	0.291
124.2	n/a	0.267
133.1	n/a	0.295
139.2	n/a	0.257
143.2	n/a	0.232
147.9	n/a	0.252
151.4	n/a	0.217
157.8	n/a	0.266
164.1	n/a	0.236
170.5	n/a	0.219
177.0	n/a	0.256
180.3	n/a	0.329
184.4	n/a	0.282
190.8	n/a	0.251
199.4	n/a	0.248
202.1	n/a	0.262
211.4	n/a	0.236
215.4	n/a	0.253
218.2	n/a	0.220
223.6	n/a	0.234
227.3	n/a	0.251
236.0	n/a	0.254
243.9	n/a	0.249
249.4	n/a	0.238
252.8	n/a	0.327
260.7	n/a	0.430
265.7	n/a	0.268
273.1	n/a	0.270
283.1	n/a	0.360
289.8	n/a	0.255
298.3	n/a	0.241
