onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.215	06:18:09	1	10707	1	1	2	14	11	n/a	n/a	n/a	n/a	n/a	n/a	9,1	1
5.0	n/a	5.32	06:18:14	1	25498	2	2	6	5	9	14	8	15	16	n/a	n/a	8,4	1
21.0	n/a	1.257	06:18:30	1	30942	3	3	2	10	5	n/a	n/a	n/a	n/a	n/a	n/a	10,1	1
26.0	n/a	1.23	06:18:35	1	36019	4	4	2	11	1	n/a	n/a	n/a	n/a	n/a	n/a	6,2	1
31.0	n/a	1.222	06:18:40	1	41257	5	5	2	14	5	n/a	n/a	n/a	n/a	n/a	n/a	14,1	1
36.0	n/a	2.723	06:18:45	1	53448	6	6	6	16	5	2	6	10	9	n/a	n/a	3,2	1
48.0	n/a	6.227	06:18:57	1	69142	7	7	6	8	6	3	11	5	14	n/a	n/a	11,4	0
64.0	n/a	5.609	06:19:13	1	84213	8	8	6	11	1	16	9	14	13	n/a	n/a	14,4	0
79.0	n/a	3.232	06:19:28	1	91287	9	9	2	8	3	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
86.0	n/a	2.919	06:19:35	1	103676	10	10	6	10	9	13	2	14	7	n/a	n/a	13,3	1
99.0	n/a	2.587	06:19:48	1	116132	11	11	6	3	4	9	13	8	14	n/a	n/a	4,5	1
111.0	n/a	1.773	06:20:00	1	121753	12	12	2	3	16	n/a	n/a	n/a	n/a	n/a	n/a	10,2	1
