onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	2.056	06:33:10	1	17157	1	1	6	13	2	1	12	16	14	n/a	n/a	4,5	1
12.0	n/a	1.49	06:33:22	1	28112	2	2	6	13	10	11	9	16	2	n/a	n/a	2,5	1
23.0	n/a	2.571	06:33:33	1	40150	3	3	6	2	15	4	13	5	3	n/a	n/a	3,2	0
35.0	n/a	1.302	06:33:45	1	45290	4	4	2	2	12	n/a	n/a	n/a	n/a	n/a	n/a	12,2	1
40.0	n/a	1.943	06:33:50	1	51073	5	5	2	4	2	n/a	n/a	n/a	n/a	n/a	n/a	2,2	1
46.0	n/a	1.416	06:33:56	1	61974	6	6	6	15	1	12	8	4	11	n/a	n/a	4,5	1
57.0	n/a	1.028	06:34:07	1	66846	7	7	2	10	7	n/a	n/a	n/a	n/a	n/a	n/a	10,1	1
62.0	n/a	1.135	06:34:12	1	71824	8	8	2	8	10	n/a	n/a	n/a	n/a	n/a	n/a	8,1	1
67.0	n/a	1.653	06:34:17	1	77317	9	9	2	5	16	n/a	n/a	n/a	n/a	n/a	n/a	10,1	1
72.0	n/a	1.255	06:34:22	1	82409	10	10	2	16	2	n/a	n/a	n/a	n/a	n/a	n/a	2,2	1
77.0	n/a	2.444	06:34:27	1	94323	11	11	6	14	5	3	1	2	10	n/a	n/a	3,3	1
89.0	n/a	2.02	06:34:39	1	105802	12	12	6	4	3	7	8	2	6	n/a	n/a	2,5	1
