onset	duration	response_time
12.4	n/a	0.285
16.3	n/a	0.196
23.4	n/a	0.213
32.3	n/a	0.186
35.2	n/a	0.214
43.9	n/a	0.198
47.6	n/a	0.275
55.4	n/a	0.190
65.5	n/a	0.222
73.6	n/a	0.199
83.0	n/a	0.243
88.1	n/a	0.266
94.9	n/a	0.189
100.8	n/a	0.206
108.7	n/a	0.180
117.9	n/a	0.177
127.7	n/a	0.186
135.6	n/a	0.238
143.9	n/a	0.208
151.4	n/a	0.177
156.6	n/a	0.195
162.6	n/a	0.199
168.9	n/a	0.219
173.4	n/a	0.196
178.8	n/a	0.196
189.0	n/a	0.177
190.4	n/a	0.001
196.0	n/a	0.262
203.4	n/a	0.300
212.3	n/a	0.250
220.5	n/a	0.188
230.2	n/a	0.177
238.9	n/a	0.279
246.9	n/a	0.226
252.9	n/a	0.214
261.1	n/a	0.237
264.5	n/a	0.276
269.6	n/a	0.271
273.1	n/a	0.234
278.6	n/a	0.230
283.1	n/a	0.276
287.5	n/a	0.215
289.9	n/a	0.223
297.1	n/a	0.310
