onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.123	06:37:16	1	10592	1	1	2	1	15	n/a	n/a	n/a	n/a	n/a	n/a	15,2	1
5.0	n/a	1.119	06:37:21	1	15585	2	2	2	12	5	n/a	n/a	n/a	n/a	n/a	n/a	7,1	1
10.0	n/a	1.126	06:37:26	1	20560	3	3	2	14	15	n/a	n/a	n/a	n/a	n/a	n/a	15,2	1
15.0	n/a	1.07	06:37:31	1	31091	4	4	6	13	2	15	3	12	6	n/a	n/a	15,2	0
25.0	n/a	1.289	06:37:41	1	41855	5	5	6	13	3	1	14	11	6	n/a	n/a	10,1	1
36.0	n/a	1.597	06:37:52	1	52921	6	6	6	12	2	3	1	13	16	n/a	n/a	16,4	1
47.0	n/a	1.09	06:38:03	1	57854	7	7	2	6	2	n/a	n/a	n/a	n/a	n/a	n/a	4,2	1
52.0	n/a	1.047	06:38:08	1	62743	8	8	2	13	4	n/a	n/a	n/a	n/a	n/a	n/a	4,2	1
57.0	n/a	1.14	06:38:13	1	67743	9	9	2	7	13	n/a	n/a	n/a	n/a	n/a	n/a	12,2	1
62.0	n/a	6.49	06:38:18	1	83706	10	10	6	7	6	11	9	4	2	n/a	n/a	6,1	0
78.0	n/a	7.64	06:38:34	1	100821	11	11	6	14	12	1	10	8	3	n/a	n/a	3,6	1
95.0	n/a	1.257	06:38:51	1	111546	12	12	6	5	4	9	7	6	12	n/a	n/a	12,6	1
