onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	2.039	04:44:04	1	17127	1	1	6	12	13	4	5	9	3	n/a	n/a	11,6	0
11.0	n/a	1.739	04:44:15	1	22718	2	2	2	14	1	n/a	n/a	n/a	n/a	n/a	n/a	3,2	1
17.0	n/a	1.637	04:44:21	1	33816	3	3	6	15	14	12	7	4	1	n/a	n/a	7,6	1
28.0	n/a	1.275	04:44:32	1	38929	4	4	2	6	9	n/a	n/a	n/a	n/a	n/a	n/a	6,1	1
33.0	n/a	1.778	04:44:37	1	50176	5	5	6	8	12	6	5	2	16	n/a	n/a	6,4	0
44.0	n/a	1.176	04:44:48	1	55206	6	6	2	5	12	n/a	n/a	n/a	n/a	n/a	n/a	5,1	1
49.0	n/a	2.223	04:44:53	1	66896	7	7	6	6	8	2	5	3	12	n/a	n/a	6,5	1
61.0	n/a	5.328	04:45:05	1	81695	8	8	6	15	16	7	5	8	2	n/a	n/a	1,4	1
76.0	n/a	1.352	04:45:20	1	86872	9	9	2	6	13	n/a	n/a	n/a	n/a	n/a	n/a	13,2	1
81.0	n/a	2.032	04:45:25	1	98364	10	10	6	10	5	1	16	11	6	n/a	n/a	6,6	1
92.0	n/a	5.282	04:45:36	1	107486	11	11	2	13	3	n/a	n/a	n/a	n/a	n/a	n/a	9,1	0
101.0	n/a	1.703	04:45:45	1	113044	12	12	2	9	11	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
