onset	duration	response_time
14.1	n/a	0.282
23.8	n/a	0.235
29.5	n/a	0.369
33.5	n/a	0.290
42.3	n/a	0.211
46.9	n/a	0.309
53.0	n/a	0.220
61.1	n/a	0.197
69.4	n/a	0.211
78.7	n/a	0.232
81.1	n/a	0.406
88.3	n/a	0.246
98.4	n/a	0.216
102.9	n/a	0.260
107.0	n/a	0.312
113.5	n/a	0.220
118.6	n/a	0.225
123.0	n/a	0.274
130.0	n/a	0.224
135.6	n/a	0.267
145.8	n/a	0.215
155.1	n/a	0.258
164.5	n/a	0.191
170.1	n/a	0.267
174.3	n/a	0.256
180.1	n/a	0.222
183.1	n/a	0.420
193.1	n/a	0.205
201.2	n/a	0.223
207.3	n/a	0.252
212.6	n/a	0.247
220.9	n/a	0.232
225.6	n/a	0.234
234.3	n/a	0.277
238.9	n/a	0.271
246.6	n/a	0.207
249.5	n/a	0.339
255.2	n/a	0.233
261.9	n/a	0.206
271.6	n/a	0.201
276.9	n/a	0.232
284.8	n/a	0.205
288.3	n/a	0.266
297.8	n/a	0.195
