onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.69	05:05:47	1	16766	1	1	6	12	2	11	15	4	16	n/a	n/a	12,1	1
11.0	n/a	1.605	05:05:58	1	27843	2	2	6	6	7	4	13	9	12	n/a	n/a	6,6	1
22.0	n/a	2.075	05:06:09	1	33758	3	3	2	6	9	n/a	n/a	n/a	n/a	n/a	n/a	12,2	1
28.0	n/a	4.439	05:06:15	1	42038	4	4	2	12	2	n/a	n/a	n/a	n/a	n/a	n/a	7,1	0
37.0	n/a	2.724	05:06:24	1	54233	5	5	6	6	3	7	10	2	5	n/a	n/a	14,5	1
49.0	n/a	1.362	05:06:36	1	59453	6	6	2	11	1	n/a	n/a	n/a	n/a	n/a	n/a	1,2	1
54.0	n/a	1.792	05:06:41	1	70714	7	7	6	14	12	13	15	4	9	n/a	n/a	12,2	1
65.0	n/a	1.312	05:06:52	1	75873	8	8	2	16	4	n/a	n/a	n/a	n/a	n/a	n/a	8,1	1
70.0	n/a	1.85	05:06:57	1	87190	9	9	6	15	14	3	9	8	11	n/a	n/a	15,1	0
82.0	n/a	1.404	05:07:09	1	92435	10	10	2	2	6	n/a	n/a	n/a	n/a	n/a	n/a	2,1	1
87.0	n/a	6.563	05:07:14	1	108468	11	11	6	16	10	5	6	3	13	n/a	n/a	16,1	0
103.0	n/a	1.115	05:07:30	1	113428	12	12	2	5	4	n/a	n/a	n/a	n/a	n/a	n/a	5,1	1
