onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.892	06:17:40	1	11371	1	1	2	1	11	n/a	n/a	n/a	n/a	n/a	n/a	14,2	1
6.0	n/a	1.626	06:17:46	1	22472	2	2	6	1	9	16	11	14	13	n/a	n/a	8,3	1
17.0	n/a	1.107	06:17:57	1	27421	3	3	2	15	10	n/a	n/a	n/a	n/a	n/a	n/a	10,2	1
22.0	n/a	1.256	06:18:02	1	33045	4	4	2	11	15	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
28.0	n/a	1.121	06:18:08	1	38519	5	5	2	3	2	n/a	n/a	n/a	n/a	n/a	n/a	3,1	1
33.0	n/a	1.738	06:18:13	1	49740	6	6	6	14	13	1	4	2	5	n/a	n/a	16,1	1
44.0	n/a	1.261	06:18:24	1	54849	7	7	2	15	2	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
49.0	n/a	1.19	06:18:29	1	65503	8	8	6	9	2	1	6	15	11	n/a	n/a	1,2	0
60.0	n/a	2.716	06:18:40	1	77683	9	9	6	2	10	15	14	7	4	n/a	n/a	10,2	1
72.0	n/a	3.026	06:18:52	1	90171	10	10	6	12	4	11	15	10	6	n/a	n/a	15,4	1
85.0	n/a	1.249	06:19:05	1	95260	11	11	2	11	12	n/a	n/a	n/a	n/a	n/a	n/a	12,2	1
90.0	n/a	2.781	06:19:10	1	107507	12	12	6	15	9	1	16	3	2	n/a	n/a	14,1	0
