onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.36	05:02:16	1	16448	1	1	6	5	6	10	14	7	12	n/a	n/a	5,6	1
11.0	n/a	2.237	05:02:27	1	28130	2	2	6	13	10	4	11	15	3	n/a	n/a	10,2	1
23.0	n/a	1.323	05:02:39	1	33278	3	3	2	5	13	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
28.0	n/a	2.524	05:02:44	1	45242	4	4	6	11	5	3	12	14	13	n/a	n/a	3,3	1
40.0	n/a	1.264	05:02:56	1	55977	5	5	6	9	13	11	15	10	16	n/a	n/a	1,2	1
51.0	n/a	1.398	05:03:07	1	61215	6	6	2	4	14	n/a	n/a	n/a	n/a	n/a	n/a	10,2	0
56.0	n/a	1.326	05:03:12	1	66365	7	7	2	2	16	n/a	n/a	n/a	n/a	n/a	n/a	12,1	1
61.0	n/a	1.048	05:03:17	1	71236	8	8	2	5	11	n/a	n/a	n/a	n/a	n/a	n/a	15,1	1
66.0	n/a	2.566	05:03:22	1	83244	9	9	6	8	12	4	11	7	9	n/a	n/a	8,1	1
78.0	n/a	1.479	05:03:34	1	94161	10	10	6	2	3	5	12	10	14	n/a	n/a	14,6	1
89.0	n/a	1.147	05:03:45	1	99133	11	11	2	13	7	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
94.0	n/a	1.186	05:03:50	1	104144	12	12	2	12	14	n/a	n/a	n/a	n/a	n/a	n/a	14,2	1
