onset	duration	trial_type	event_type	time_until_response	response_time	trial_number	block_num_within_trial	image_seq_num_within_block	question_seq_num_within_block	image_seq_num	picture_number	condition	question_type	block_type	rating	rating_computed	onset_uncorrected	KDEV_imagefile
0.015	10.014	ITI	Fixation+	102.661	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	28.444	n/a
10.045	0.497	angry	Picture	102.147	n/a	1	1	1	n/a	1	108	3	n/a	n/a	n/a	n/a	38.474	AM09ANS.jpg
10.542	0.514	Blank	Blank	101.633	n/a	1	1	1	n/a	1	n/a	3	n/a	n/a	n/a	n/a	38.972	n/a
11.073	0.497	angry	Picture	101.119	n/a	1	1	2	n/a	2	99	3	n/a	n/a	n/a	n/a	39.502	AF31ANS.jpg
11.57	0.514	Blank	Blank	100.605	n/a	1	1	2	n/a	2	n/a	3	n/a	n/a	n/a	n/a	39.999	n/a
12.101	0.497	angry	Picture	100.091	n/a	1	1	3	n/a	3	98	3	n/a	n/a	n/a	n/a	40.53	BF29ANS.jpg
12.598	0.514	Blank	Blank	99.577	n/a	1	1	3	n/a	3	n/a	3	n/a	n/a	n/a	n/a	41.027	n/a
13.129	0.497	angry	Picture	99.063	n/a	1	1	4	n/a	4	107	3	n/a	n/a	n/a	n/a	41.558	BM08ANS.jpg
13.626	0.514	Blank	Blank	98.549	n/a	1	1	4	n/a	4	n/a	3	n/a	n/a	n/a	n/a	42.055	n/a
14.157	0.497	angry	Picture	98.035	n/a	1	1	5	n/a	5	104	3	n/a	n/a	n/a	n/a	42.586	BM05ANS.jpg
14.654	0.514	Blank	Blank	97.522	n/a	1	1	5	n/a	5	n/a	3	n/a	n/a	n/a	n/a	43.083	n/a
15.184	0.497	angry	Picture	97.008	n/a	1	1	6	n/a	6	101	3	n/a	n/a	n/a	n/a	43.614	AM01ANS.jpg
15.682	0.514	Blank	Blank	96.494	n/a	1	1	6	n/a	6	n/a	3	n/a	n/a	n/a	n/a	44.111	n/a
16.212	0.497	angry	Picture	95.98	n/a	1	1	7	n/a	7	103	3	n/a	n/a	n/a	n/a	44.642	AM04ANS.jpg
16.71	0.514	Blank	Blank	95.466	n/a	1	1	7	n/a	7	n/a	3	n/a	n/a	n/a	n/a	45.139	n/a
17.24	0.497	angry	Picture	94.952	n/a	1	1	8	n/a	8	111	3	n/a	n/a	n/a	n/a	45.669	BM12ANS.jpg
17.738	0.514	Blank	Blank	94.438	n/a	1	1	8	n/a	8	n/a	3	n/a	n/a	n/a	n/a	46.167	n/a
18.268	0.497	angry	Picture	93.924	n/a	1	1	9	n/a	9	110	3	n/a	n/a	n/a	n/a	46.697	AM11ANS.jpg
18.765	0.514	Blank	Blank	93.41	n/a	1	1	9	n/a	9	n/a	3	n/a	n/a	n/a	n/a	47.195	n/a
19.296	0.497	angry	Picture	92.896	n/a	1	1	10	n/a	10	85	3	n/a	n/a	n/a	n/a	47.725	BF07ANS.jpg
19.793	0.514	Blank	Blank	92.382	n/a	1	1	10	n/a	10	n/a	3	n/a	n/a	n/a	n/a	48.223	n/a
20.324	0.497	angry	Picture	91.868	n/a	1	1	11	n/a	11	87	3	n/a	n/a	n/a	n/a	48.753	BF11ANS.jpg
20.821	0.514	Blank	Blank	91.354	n/a	1	1	11	n/a	11	n/a	3	n/a	n/a	n/a	n/a	49.251	n/a
21.352	0.497	angry	Picture	90.84	n/a	1	1	12	n/a	12	91	3	n/a	n/a	n/a	n/a	49.781	AF20ANS.jpg
21.849	0.514	Blank	Blank	90.326	n/a	1	1	12	n/a	12	n/a	3	n/a	n/a	n/a	n/a	50.278	n/a
22.38	0.497	angry	Picture	89.812	n/a	1	1	13	n/a	13	115	3	n/a	n/a	n/a	n/a	50.809	AM23ANS.jpg
22.877	0.514	Blank	Blank	89.298	n/a	1	1	13	n/a	13	n/a	3	n/a	n/a	n/a	n/a	51.306	n/a
23.408	0.497	angry	Picture	88.784	n/a	1	1	14	n/a	14	97	3	n/a	n/a	n/a	n/a	51.837	BF28ANS.jpg
23.905	0.514	Blank	Blank	88.271	n/a	1	1	14	n/a	14	n/a	3	n/a	n/a	n/a	n/a	52.334	n/a
24.435	0.497	angry	Picture	87.757	n/a	1	1	15	n/a	15	82	3	n/a	n/a	n/a	n/a	52.865	AF03ANS.jpg
24.933	0.514	Blank	Blank	87.243	n/a	1	1	15	n/a	15	n/a	3	n/a	n/a	n/a	n/a	53.362	n/a
25.463	0.497	angry	Picture	86.729	n/a	1	1	16	n/a	16	96	3	n/a	n/a	n/a	n/a	53.893	AF26ANS.jpg
25.961	0.514	Blank	Blank	86.215	n/a	1	1	16	n/a	16	n/a	3	n/a	n/a	n/a	n/a	54.39	n/a
26.491	0.497	angry	Picture	85.701	n/a	1	1	17	n/a	17	109	3	n/a	n/a	n/a	n/a	54.92	AM10ANS.jpg
26.989	0.514	Blank	Blank	85.187	n/a	1	1	17	n/a	17	n/a	3	n/a	n/a	n/a	n/a	55.418	n/a
27.519	0.497	angry	Picture	84.673	n/a	1	1	18	n/a	18	114	3	n/a	n/a	n/a	n/a	55.948	AM22ANS.jpg
28.017	0.514	Blank	Blank	84.159	n/a	1	1	18	n/a	18	n/a	3	n/a	n/a	n/a	n/a	56.446	n/a
28.547	0.497	angry	Picture	83.645	n/a	1	1	19	n/a	19	120	3	n/a	n/a	n/a	n/a	56.976	AM35ANS.jpg
29.044	0.514	Blank	Blank	83.131	n/a	1	1	19	n/a	19	n/a	3	n/a	n/a	n/a	n/a	57.474	n/a
29.575	0.497	angry	Picture	82.617	n/a	1	1	20	n/a	20	81	3	n/a	n/a	n/a	n/a	58.004	AF01ANS.jpg
30.072	0.514	Blank	Blank	82.103	n/a	1	1	20	n/a	20	n/a	3	n/a	n/a	n/a	n/a	58.502	n/a
30.603	10.014	ITI	Fixation+	72.073	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	59.032	n/a
40.633	0.497	neutral	Picture	71.559	n/a	1	2	1	n/a	21	28	1	n/a	n/a	n/a	n/a	69.062	AM09NES.jpg
41.13	0.514	Blank	Blank	71.045	n/a	1	2	1	n/a	21	n/a	1	n/a	n/a	n/a	n/a	69.56	n/a
41.661	0.497	neutral	Picture	70.531	n/a	1	2	2	n/a	22	27	1	n/a	n/a	n/a	n/a	70.09	BM08NES.jpg
42.158	0.514	Blank	Blank	70.017	n/a	1	2	2	n/a	22	n/a	1	n/a	n/a	n/a	n/a	70.588	n/a
42.689	0.497	neutral	Picture	69.503	n/a	1	2	3	n/a	23	16	1	n/a	n/a	n/a	n/a	71.118	AF26NES.jpg
43.186	0.514	Blank	Blank	68.989	n/a	1	2	3	n/a	23	n/a	1	n/a	n/a	n/a	n/a	71.615	n/a
43.717	0.497	neutral	Picture	68.475	n/a	1	2	4	n/a	24	3	1	n/a	n/a	n/a	n/a	72.146	BF04NES.jpg
44.214	0.514	Blank	Blank	67.961	n/a	1	2	4	n/a	24	n/a	1	n/a	n/a	n/a	n/a	72.643	n/a
44.745	0.497	neutral	Picture	67.447	n/a	1	2	5	n/a	25	32	1	n/a	n/a	n/a	n/a	73.174	AM14NES.jpg
45.242	0.514	Blank	Blank	66.934	n/a	1	2	5	n/a	25	n/a	1	n/a	n/a	n/a	n/a	73.671	n/a
45.773	0.497	neutral	Picture	66.42	n/a	1	2	6	n/a	26	37	1	n/a	n/a	n/a	n/a	74.202	BM25NES.jpg
