onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.068	19:37:06	1	10544	1	1	2	5	8	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
5.0	n/a	2.689	19:37:11	1	22693	2	2	6	11	1	3	13	4	7	n/a	n/a	11,1	0
17.0	n/a	1.016	19:37:23	1	27536	3	3	2	12	6	n/a	n/a	n/a	n/a	n/a	n/a	2,1	1
22.0	n/a	1.864	19:37:28	1	38841	4	4	6	13	3	9	6	16	4	n/a	n/a	9,3	1
33.0	n/a	1.348	19:37:39	1	44011	5	5	2	7	15	n/a	n/a	n/a	n/a	n/a	n/a	15,2	1
39.0	n/a	1.437	19:37:45	1	54889	6	6	6	3	15	2	4	9	8	n/a	n/a	1,4	1
50.0	n/a	1.188	19:37:56	1	65518	7	7	6	14	5	6	2	13	7	n/a	n/a	7,1	1
60.0	n/a	1.117	19:38:06	1	70484	8	8	2	16	2	n/a	n/a	n/a	n/a	n/a	n/a	14,2	1
65.0	n/a	1.17	19:38:11	1	75494	9	9	2	2	16	n/a	n/a	n/a	n/a	n/a	n/a	2,1	1
70.0	n/a	3.307	19:38:16	1	88246	10	10	6	12	6	9	2	13	15	n/a	n/a	6,2	1
83.0	n/a	1.217	19:38:29	1	93289	11	11	2	14	13	n/a	n/a	n/a	n/a	n/a	n/a	13,2	1
88.0	n/a	2.058	19:38:34	1	104787	12	12	6	3	2	9	11	6	16	n/a	n/a	3,3	0
