onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	3.219	04:59:23	1	18314	1	1	6	3	8	12	10	11	16	n/a	n/a	16,6	1
12.0	n/a	3.696	04:59:35	1	31474	2	2	6	7	1	11	15	16	2	n/a	n/a	8,3	1
25.0	n/a	2.107	04:59:48	1	43050	3	3	6	7	14	1	3	12	13	n/a	n/a	4,1	1
37.0	n/a	1.748	05:00:00	1	48638	4	4	2	7	11	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
43.0	n/a	1.621	05:00:06	1	54100	5	5	2	7	5	n/a	n/a	n/a	n/a	n/a	n/a	5,2	1
48.0	n/a	1.324	05:00:11	1	59273	6	6	2	5	16	n/a	n/a	n/a	n/a	n/a	n/a	14,2	1
53.0	n/a	1.956	05:00:16	1	65087	7	7	2	9	10	n/a	n/a	n/a	n/a	n/a	n/a	10,2	1
59.0	n/a	1.343	05:00:22	1	70274	8	8	2	15	4	n/a	n/a	n/a	n/a	n/a	n/a	15,1	1
64.0	n/a	5.724	05:00:27	1	85465	9	9	6	14	7	1	10	11	9	n/a	n/a	10,4	1
79.0	n/a	1.981	05:00:42	1	96913	10	10	6	13	3	11	16	14	10	n/a	n/a	8,1	1
91.0	n/a	1.078	05:00:54	1	101833	11	11	2	2	14	n/a	n/a	n/a	n/a	n/a	n/a	2,1	1
96.0	n/a	4.418	05:00:59	1	115710	12	12	6	9	8	16	12	5	11	n/a	n/a	2,1	1
