onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	2.235	04:48:52	1	17318	1	1	6	9	3	10	16	2	1	n/a	n/a	12,6	1
11.0	n/a	1.294	04:49:03	1	22456	2	2	2	9	13	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
17.0	n/a	1.395	04:49:09	1	27697	3	3	2	4	15	n/a	n/a	n/a	n/a	n/a	n/a	14,2	1
22.0	n/a	3.62	04:49:14	1	40784	4	4	6	12	16	14	3	6	9	n/a	n/a	13,5	1
35.0	n/a	1.355	04:49:27	1	45999	5	5	2	2	5	n/a	n/a	n/a	n/a	n/a	n/a	5,2	1
40.0	n/a	2.575	04:49:32	1	52424	6	6	2	7	12	n/a	n/a	n/a	n/a	n/a	n/a	12,2	1
47.0	n/a	1.412	04:49:39	1	63304	7	7	6	3	13	16	14	11	10	n/a	n/a	11,5	1
58.0	n/a	3.168	04:49:50	1	76381	8	8	6	10	9	15	7	16	3	n/a	n/a	13,4	1
70.0	n/a	2.592	04:50:02	1	88439	9	9	6	8	1	3	4	10	6	n/a	n/a	13,5	1
83.0	n/a	2.145	04:50:15	1	94425	10	10	2	10	4	n/a	n/a	n/a	n/a	n/a	n/a	8,1	1
89.0	n/a	1.6	04:50:21	1	99868	11	11	2	16	15	n/a	n/a	n/a	n/a	n/a	n/a	14,1	1
94.0	n/a	3.352	04:50:26	1	112678	12	12	6	9	4	14	13	6	10	n/a	n/a	4,5	1
