onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	2.067	04:39:01	1	17145	1	1	6	4	5	6	8	11	12	n/a	n/a	15,1	1
12.0	n/a	2.473	04:39:13	1	29087	2	2	6	2	3	13	16	9	15	n/a	n/a	13,3	1
24.0	n/a	1.865	04:39:25	1	34792	3	3	2	5	6	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
29.0	n/a	2.186	04:39:30	1	46451	4	4	6	6	1	10	4	13	14	n/a	n/a	10,3	0
41.0	n/a	1.931	04:39:42	1	52235	5	5	2	13	12	n/a	n/a	n/a	n/a	n/a	n/a	12,2	1
47.0	n/a	1.833	04:39:48	1	57913	6	6	2	16	9	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
53.0	n/a	2.072	04:39:54	1	69890	7	7	6	12	2	15	5	8	13	n/a	n/a	10,3	1
65.0	n/a	2.691	04:40:06	1	82047	8	8	6	8	12	3	13	9	1	n/a	n/a	12,2	1
77.0	n/a	1.904	04:40:18	1	87789	9	9	2	16	5	n/a	n/a	n/a	n/a	n/a	n/a	9,1	1
82.0	n/a	4.032	04:40:23	1	101282	10	10	6	12	4	1	9	2	7	n/a	n/a	13,4	1
96.0	n/a	1.801	04:40:37	1	106928	11	11	2	2	15	n/a	n/a	n/a	n/a	n/a	n/a	10,2	1
102.0	n/a	2.093	04:40:43	1	112863	12	12	2	2	9	n/a	n/a	n/a	n/a	n/a	n/a	5,1	1
