onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	0.873	21:49:45	1	10338	1	1	2	9	15	n/a	n/a	n/a	n/a	n/a	n/a	5,2	1
5.0	n/a	0.977	21:49:50	1	15144	2	2	2	2	13	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
9.0	n/a	0.801	21:49:54	1	19771	3	3	2	5	1	n/a	n/a	n/a	n/a	n/a	n/a	4,2	1
14.0	n/a	1.102	21:49:59	1	24695	4	4	2	2	10	n/a	n/a	n/a	n/a	n/a	n/a	10,2	1
19.0	n/a	1.889	21:50:04	1	36028	5	5	6	5	15	10	7	4	2	n/a	n/a	7,3	0
30.0	n/a	0.873	21:50:15	1	46346	6	6	6	2	1	11	7	15	6	n/a	n/a	8,1	1
41.0	n/a	1.128	21:50:26	1	56948	7	7	6	12	5	7	16	8	3	n/a	n/a	14,5	1
51.0	n/a	1.116	21:50:36	1	67506	8	8	6	7	9	11	6	10	13	n/a	n/a	8,2	1
62.0	n/a	0.887	21:50:47	1	72217	9	9	2	11	7	n/a	n/a	n/a	n/a	n/a	n/a	1,2	1
66.0	n/a	0.843	21:50:51	1	76887	10	10	2	6	3	n/a	n/a	n/a	n/a	n/a	n/a	15,2	1
71.0	n/a	1.029	21:50:56	1	87358	11	11	6	8	10	16	13	9	7	n/a	n/a	8,1	1
82.0	n/a	0.999	21:51:07	1	97801	12	12	6	10	13	15	6	2	3	n/a	n/a	13,2	1
