onset	duration	response_time
16.8	n/a	0.188
23.3	n/a	0.240
30.3	n/a	0.249
37.2	n/a	0.214
43.1	n/a	0.223
50.3	n/a	0.197
54.9	n/a	0.383
61.0	n/a	0.203
69.5	n/a	0.904
74.1	n/a	0.553
78.0	n/a	0.210
85.3	n/a	0.217
95.5	n/a	0.198
100.9	n/a	0.201
109.7	n/a	0.222
117.1	n/a	0.238
126.6	n/a	0.238
131.1	n/a	0.259
139.6	n/a	0.185
144.8	n/a	0.247
148.7	n/a	0.201
154.2	n/a	0.203
156.7	n/a	0.316
166.1	n/a	0.209
176.1	n/a	0.190
182.4	n/a	0.199
190.2	n/a	0.264
197.4	n/a	0.220
203.5	n/a	0.238
210.3	n/a	0.227
214.3	n/a	0.222
217.6	n/a	0.253
222.1	n/a	0.200
230.8	n/a	0.227
235.4	n/a	0.203
239.9	n/a	0.229
243.5	n/a	0.209
251.5	n/a	0.214
260.5	n/a	0.200
264.3	n/a	0.270
268.2	n/a	0.231
270.8	n/a	0.261
273.1	n/a	0.259
277.2	n/a	0.230
284.8	n/a	0.210
293.1	n/a	0.243
297.1	n/a	0.240
