onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.676	04:53:48	1	16763	1	1	6	8	13	14	9	7	10	n/a	n/a	13,2	1
11.0	n/a	0.982	04:53:59	1	21601	2	2	2	1	5	n/a	n/a	n/a	n/a	n/a	n/a	1,1	1
16.0	n/a	1.189	04:54:04	1	26654	3	3	2	6	11	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
21.0	n/a	1.377	04:54:09	1	37502	4	4	6	4	15	14	11	13	12	n/a	n/a	12,1	1
32.0	n/a	1.463	04:54:20	1	48430	5	5	6	11	12	4	5	6	15	n/a	n/a	15,1	1
43.0	n/a	1.033	04:54:31	1	53311	6	6	2	15	10	n/a	n/a	n/a	n/a	n/a	n/a	9,2	1
48.0	n/a	3.532	04:54:36	1	66303	7	7	6	1	4	7	11	10	12	n/a	n/a	5,4	1
61.0	n/a	1.064	04:54:49	1	71604	8	8	2	12	1	n/a	n/a	n/a	n/a	n/a	n/a	6,1	1
66.0	n/a	2.471	04:54:54	1	83539	9	9	6	15	4	6	1	13	7	n/a	n/a	3,4	1
78.0	n/a	1.06	04:55:06	1	88439	10	10	2	9	11	n/a	n/a	n/a	n/a	n/a	n/a	14,1	1
83.0	n/a	2.24	04:55:11	1	100530	11	11	6	3	15	4	1	9	10	n/a	n/a	1,5	1
95.0	n/a	1.135	04:55:23	1	105521	12	12	2	12	9	n/a	n/a	n/a	n/a	n/a	n/a	5,2	1
