onset	duration	response_time
11.5	n/a	0.173
19.9	n/a	0.216
29.8	n/a	0.242
36.0	n/a	0.199
45.8	n/a	0.181
55.0	n/a	0.181
60.6	n/a	0.339
67.2	n/a	0.234
71.1	n/a	0.238
78.7	n/a	0.169
83.4	n/a	0.226
88.3	n/a	0.185
95.4	n/a	0.180
104.5	n/a	0.181
113.5	n/a	0.198
117.7	n/a	0.251
123.6	n/a	0.202
129.4	n/a	0.187
135.2	n/a	0.232
144.4	n/a	0.182
148.9	n/a	0.245
156.4	n/a	0.184
164.7	n/a	0.246
167.8	n/a	0.242
177.1	n/a	0.308
187.2	n/a	0.185
195.1	n/a	0.183
197.6	n/a	0.269
202.1	n/a	0.178
205.6	n/a	0.192
211.7	n/a	0.175
222.0	n/a	0.226
231.0	n/a	0.253
234.5	n/a	0.263
240.8	n/a	0.185
248.1	n/a	0.252
250.9	n/a	0.270
254.9	n/a	0.186
260.5	n/a	0.179
269.1	n/a	0.183
277.3	n/a	0.208
286.1	n/a	0.203
289.9	n/a	0.222
296.9	n/a	0.187
