onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.538	06:18:11	1	10997	1	1	2	3	14	n/a	n/a	n/a	n/a	n/a	n/a	14,2	1
6.0	n/a	1.333	06:18:17	1	16169	2	2	2	1	2	n/a	n/a	n/a	n/a	n/a	n/a	2,2	1
11.0	n/a	1.231	06:18:22	1	26863	3	3	6	13	14	5	12	7	6	n/a	n/a	6,6	1
22.0	n/a	3.159	06:18:33	1	39506	4	4	6	6	10	16	13	15	5	n/a	n/a	13,4	1
34.0	n/a	1.593	06:18:45	1	50566	5	5	6	13	2	3	6	14	5	n/a	n/a	7,4	1
45.0	n/a	2.101	06:18:56	1	62135	6	6	6	3	7	10	8	11	9	n/a	n/a	10,3	0
57.0	n/a	1.556	06:19:08	1	67530	7	7	2	12	15	n/a	n/a	n/a	n/a	n/a	n/a	12,1	1
62.0	n/a	1.382	06:19:13	1	72750	8	8	2	14	9	n/a	n/a	n/a	n/a	n/a	n/a	14,1	1
67.0	n/a	1.267	06:19:18	1	77858	9	9	2	13	16	n/a	n/a	n/a	n/a	n/a	n/a	16,2	1
73.0	n/a	1.885	06:19:24	1	89204	10	10	6	14	7	8	6	15	3	n/a	n/a	3,6	1
84.0	n/a	1.701	06:19:35	1	94745	11	11	2	1	4	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
89.0	n/a	1.854	06:19:40	1	106061	12	12	6	5	2	1	4	15	9	n/a	n/a	1,3	0
