onset	duration	response_time
13.2	n/a	0.196
22.1	n/a	0.196
31.7	n/a	0.206
38.6	n/a	0.198
46.2	n/a	0.186
52.9	n/a	0.172
60.4	n/a	0.184
67.1	n/a	0.198
70.7	n/a	0.214
77.5	n/a	0.189
80.1	n/a	0.415
87.7	n/a	0.212
96.9	n/a	0.216
107.5	n/a	1.381
115.5	n/a	0.239
118.7	n/a	0.337
122.1	n/a	0.240
131.1	n/a	0.211
139.3	n/a	0.190
143.8	n/a	0.249
150.5	n/a	0.204
160.4	n/a	0.186
165.4	n/a	0.195
174.4	n/a	0.187
176.8	n/a	0.306
179.5	n/a	0.205
189.6	n/a	0.223
198.0	n/a	0.221
204.9	n/a	0.188
208.4	n/a	0.214
213.9	n/a	0.205
217.7	n/a	0.259
225.2	n/a	0.206
232.0	n/a	0.242
239.0	n/a	0.184
245.5	n/a	0.194
254.4	n/a	0.210
263.4	n/a	0.232
271.8	n/a	0.185
278.0	n/a	0.234
288.0	n/a	0.187
296.3	n/a	0.235
