onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.448	07:06:37	1	10927	1	1	2	10	8	n/a	n/a	n/a	n/a	n/a	n/a	9,1	1
6.0	n/a	1.714	07:06:43	1	22590	2	2	6	4	5	15	11	1	8	n/a	n/a	1,5	1
17.0	n/a	1.549	07:06:54	1	34143	3	3	6	15	14	1	12	8	6	n/a	n/a	8,5	1
29.0	n/a	2.477	07:07:06	1	46086	4	4	6	9	2	10	6	1	12	n/a	n/a	9,1	0
41.0	n/a	1.509	07:07:18	1	51441	5	5	2	5	15	n/a	n/a	n/a	n/a	n/a	n/a	5,1	1
46.0	n/a	5.22	07:07:23	1	66128	6	6	6	4	11	13	16	10	2	n/a	n/a	10,3	1
61.0	n/a	1.478	07:07:38	1	71449	7	7	2	1	14	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
66.0	n/a	1.506	07:07:43	1	77302	8	8	2	1	13	n/a	n/a	n/a	n/a	n/a	n/a	1,1	1
72.0	n/a	1.541	07:07:49	1	82688	9	9	2	1	3	n/a	n/a	n/a	n/a	n/a	n/a	8,1	1
77.0	n/a	1.572	07:07:54	1	88115	10	10	2	9	7	n/a	n/a	n/a	n/a	n/a	n/a	7,2	1
83.0	n/a	1.071	07:08:00	1	98670	11	11	6	11	9	7	12	8	15	n/a	n/a	11,1	1
93.0	n/a	2.214	07:08:10	1	110354	12	12	6	12	10	1	5	14	6	n/a	n/a	2,4	1
