onset	duration	response_time
14.4	n/a	0.318
19.6	n/a	0.264
28.1	n/a	0.203
33.8	n/a	0.248
40.8	n/a	0.190
48.1	n/a	0.267
56.7	n/a	0.243
64.1	n/a	0.271
67.8	n/a	0.330
71.3	n/a	0.263
80.1	n/a	0.208
87.2	n/a	0.221
93.2	n/a	0.219
97.3	n/a	0.233
106.6	n/a	0.296
114.9	n/a	0.242
118.3	n/a	0.286
123.9	n/a	0.233
127.5	n/a	0.263
135.7	n/a	0.212
138.2	n/a	0.381
144.5	n/a	0.215
148.4	n/a	0.303
154.8	n/a	0.238
158.8	n/a	0.343
165.4	n/a	0.191
173.3	n/a	0.220
177.4	n/a	0.368
180.3	n/a	0.285
189.3	n/a	0.322
197.0	n/a	0.307
201.7	n/a	0.412
206.0	n/a	0.280
215.6	n/a	0.235
220.4	n/a	0.286
225.8	n/a	0.264
232.5	n/a	0.248
239.6	n/a	0.300
243.0	n/a	0.296
248.9	n/a	0.246
252.3	n/a	0.334
261.8	n/a	0.280
271.0	n/a	0.247
278.5	n/a	0.294
283.3	n/a	0.244
286.9	n/a	0.375
293.0	n/a	0.227
298.5	n/a	0.317
