onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.883	04:36:40	1	16970	1	1	6	8	16	4	2	10	6	n/a	n/a	2,4	0
11.0	n/a	1.3	04:36:51	1	22119	2	2	2	16	12	n/a	n/a	n/a	n/a	n/a	n/a	16,1	1
16.0	n/a	1.251	04:36:56	1	27219	3	3	2	6	15	n/a	n/a	n/a	n/a	n/a	n/a	5,1	1
21.0	n/a	1.71	04:37:01	1	38410	4	4	6	2	5	14	13	12	11	n/a	n/a	5,3	1
32.0	n/a	1.285	04:37:12	1	43558	5	5	2	6	3	n/a	n/a	n/a	n/a	n/a	n/a	6,1	1
38.0	n/a	1.439	04:37:18	1	54469	6	6	6	2	6	11	10	13	14	n/a	n/a	2,1	1
48.0	n/a	1.243	04:37:28	1	59562	7	7	2	16	1	n/a	n/a	n/a	n/a	n/a	n/a	9,1	1
54.0	n/a	3.971	04:37:34	1	73007	8	8	6	14	2	11	6	7	13	n/a	n/a	6,4	0
67.0	n/a	1.381	04:37:47	1	83854	9	9	6	7	6	12	11	2	13	n/a	n/a	6,2	1
78.0	n/a	1.239	04:37:58	1	88934	10	10	2	12	7	n/a	n/a	n/a	n/a	n/a	n/a	16,1	1
83.0	n/a	1.704	04:38:03	1	100105	11	11	6	7	11	13	4	6	5	n/a	n/a	10,3	1
94.0	n/a	1.444	04:38:14	1	105390	12	12	2	16	10	n/a	n/a	n/a	n/a	n/a	n/a	16,2	1
