onset	duration	response_time
18.1	n/a	0.261
27.7	n/a	0.255
37.3	n/a	0.310
44.0	n/a	0.243
53.8	n/a	0.267
61.2	n/a	0.225
64.1	n/a	0.404
67.7	n/a	0.219
72.6	n/a	0.253
75.1	n/a	0.286
78.1	n/a	0.224
83.8	n/a	0.001
87.9	n/a	0.283
92.8	n/a	0.299
97.7	n/a	0.218
100.2	n/a	0.286
104.4	n/a	0.289
111.2	n/a	0.294
114.5	n/a	0.296
117.5	n/a	0.286
125.9	n/a	0.228
135.1	n/a	0.250
139.0	n/a	0.304
147.3	n/a	0.296
153.1	n/a	0.231
158.5	n/a	0.254
165.5	n/a	0.262
173.9	n/a	0.333
179.8	n/a	0.348
185.8	n/a	0.238
192.8	n/a	0.233
196.0	n/a	0.323
199.7	n/a	0.265
207.5	n/a	0.274
216.0	n/a	0.240
218.5	n/a	0.351
223.4	n/a	0.312
233.3	n/a	0.291
243.1	n/a	0.344
253.3	n/a	0.468
262.0	n/a	0.281
267.2	n/a	0.335
270.3	n/a	0.351
278.1	n/a	0.228
286.6	n/a	0.248
290.8	n/a	0.276
297.6	n/a	0.220
