onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	0.878	06:32:25	1	10351	1	1	2	15	11	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
5.0	n/a	0.956	06:32:30	1	15151	2	2	2	9	11	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
10.0	n/a	1.064	06:32:35	1	20053	3	3	2	4	7	n/a	n/a	n/a	n/a	n/a	n/a	3,2	1
14.0	n/a	1.112	06:32:39	1	25012	4	4	2	14	9	n/a	n/a	n/a	n/a	n/a	n/a	14,1	1
20.0	n/a	1.44	06:32:45	1	36406	5	5	6	16	3	5	1	9	13	n/a	n/a	15,3	1
31.0	n/a	0.814	06:32:56	1	41070	6	6	2	7	2	n/a	n/a	n/a	n/a	n/a	n/a	7,1	1
35.0	n/a	1.129	06:33:00	1	51672	7	7	6	14	7	1	2	15	10	n/a	n/a	8,2	1
46.0	n/a	2.995	06:33:11	1	64146	8	8	6	5	10	8	15	3	6	n/a	n/a	7,4	1
59.0	n/a	3.15	06:33:24	1	76774	9	9	6	10	5	13	11	7	12	n/a	n/a	5,2	1
71.0	n/a	1.337	06:33:36	1	87582	10	10	6	8	14	12	11	6	1	n/a	n/a	6,5	1
82.0	n/a	1.01	06:33:47	1	98066	11	11	6	6	11	1	2	7	9	n/a	n/a	8,1	1
92.0	n/a	0.785	06:33:57	1	102699	12	12	2	10	4	n/a	n/a	n/a	n/a	n/a	n/a	8,1	1
