onset	duration	response_time
9.4	n/a	0.203
14.2	n/a	0.177
23.3	n/a	0.211
33.0	n/a	0.204
35.7	n/a	0.299
43.1	n/a	0.247
45.7	n/a	0.231
50.7	n/a	0.232
60.7	n/a	0.221
67.0	n/a	0.221
69.7	n/a	0.254
75.1	n/a	0.231
80.7	n/a	0.186
88.0	n/a	0.209
90.8	n/a	0.215
96.6	n/a	0.231
104.1	n/a	0.210
106.8	n/a	0.251
113.1	n/a	0.197
116.0	n/a	0.229
120.5	n/a	0.207
130.4	n/a	0.184
133.0	n/a	0.238
136.8	n/a	0.228
139.4	n/a	0.212
148.4	n/a	0.225
155.5	n/a	0.222
164.7	n/a	0.225
167.1	n/a	0.282
173.1	n/a	0.246
178.2	n/a	0.211
184.3	n/a	0.226
190.3	n/a	0.243
198.8	n/a	0.199
206.8	n/a	0.198
214.0	n/a	0.204
224.1	n/a	0.232
226.7	n/a	0.266
231.9	n/a	0.215
235.6	n/a	0.229
240.4	n/a	0.218
248.4	n/a	0.230
252.6	n/a	0.227
256.7	n/a	0.206
263.3	n/a	0.192
269.9	n/a	0.177
276.0	n/a	0.187
279.5	n/a	0.241
289.5	n/a	0.221
296.0	n/a	0.228
